Acceptor,SMILES
Acceptor LQ,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C/c2ccc(-c3c(F)cc(-c4cc5c(s4)-c4cc6c(cc4C5(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)-c4sc(-c5cc(F)c(-c7ccc(/C=c8/sc(=C(C#N)C#N)n(CCCCCCCC)c8=O)s7)c7nsnc57)cc4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c4nsnc34)s2)c1=O
Acceptor BU,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6/SC(=S)N(CCC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5/SC(=S)N(CCC)C5=O)c5nsnc35)sc2-4)cc1
Acceptor VV,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc(c8c8cc(c1=O)c2c3c8c7c4c56)c(c%13c%14%15)c9c%12c%11%10
Acceptor JM,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc(-c%12cc(-c%13cc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc%16c%17c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20ccc%21c%22ccc%23c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%24cc(c%17c%17cc%25c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%26ccc%27c%13c(c%14%15)c%16c%17c%27c%26%25)c(c%22c%23%24)c%18c%21c%20%19)cc(-c%13cc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc%16c%17c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20ccc%21c%22ccc%23c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%24cc(c%17c%17cc%25c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%26ccc%27c%13c(c%14%15)c%16c%17c%27c%26%25)c(c%22c%23%24)c%18c%21c%20%19)c%12)c%12c%13ccc%14c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%15cc(c8c8cc(c1=O)c2c3c8c7c4c56)c(c%13c%14%15)c9c%12c%11%10
Acceptor SK,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c(c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%14c1c%16%15)c1c2cc3c(=O)n(C(CCCCCC)CCCCCC)c(=O)c4cc5c6c7cc8c(=O)n(C(CCCCCC)CCCCCC)c(=O)c9ccc%10c%11ccc%12c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%14cc(c6c6cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc(c1c1c%17cc%18c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%19cc%20c%21c%22cc%23c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%24ccc%25c%26ccc%27c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%28cc(c%21c%21cc%29c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%30cc(c%131)c1c%17c(c%19%18)c%20c%21c1c%29%30)c(c%26c%27%28)c%22c%25c%24%23)c1c2c(c43)c5c6c1c%15%16)c(c%11c%12%14)c7c%10c98
Acceptor PB,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16ccc%17c%18ccc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc(c%13c%13cc%21c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%22cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%13c1c%22%21)c(c%18c%19%20)c%14c%17c%16%15
Acceptor AU,CCCCC(CC)CC1(CC(CC)CCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
Acceptor VS,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1
Acceptor LW,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1
Acceptor AR,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)N(CC)C(=S)N(CC)C6=O)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)sc23)cc1
Acceptor MF,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5/C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3OCC(CC)CCCC)sc2-4)cc1
Acceptor GB,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5c(sc6ccsc56)C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4c(sc5ccsc45)C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor FA,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor V,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(C)ccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1
Acceptor JG,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(C)ccc5C4=C(C#N)C#N)sc23)cc1
