ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),HOMO_n(eV),LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),HOMO_p(eV),LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,n(labels),p(labels)
158,63,11.2,11.2,22.9,0.712,0.69,-5.2,-3.95,1.25,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1627.83,-5.26,-3.63,1.63,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,486,153
159,64,8.7,8.5,16.2,0.7,0.748,-5.55,-3.99,1.56,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc23)cc1,1463.94,-5.2,-3.61,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,567,48
160,64,12.1,11.6,21.9,0.65,0.817,-5.34,-4.03,1.31,CCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,1786.47,-5.2,-3.61,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,602,48
161,64,3.7,3.3,7,0.61,0.785,-5.22,-3.9,1.32,CCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6sc(/C=C7\C(=O)c8ccc(F)cc8C7=C(C#N)C#N)cc6OCC(CC)CCCC)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4sc(C=C5C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc4OCC(CC)CCCC)sc23)cc1,1898.63,-5.2,-3.61,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,57,48
162,65,12.62,12.62,20.12,0.727,0.864,-5.49,-3.88,1.61,CCCCCCCCOc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)c1OCCCCCCCC,1808.42,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,604,153
163,65,10.67,10.67,18.55,0.692,0.831,-5.48,-3.9,1.58,CCCCCCCCOc1c(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2ccc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)[se]2)c1OCCCCCCCC,1902.22,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,166,153
164,65,10.21,10.21,17.21,0.694,0.856,-5.39,-3.89,1.5,CCCCCCCCOc1c(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)sc2c1C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-2)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc(-c2cc3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3s2)c1OCCCCCCCC,1920.59,-5.33,-2.92,2.41,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,167,153
165,66,5,5,10.51,0.58,0.78,-5.87,-3.76,2.11,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(N1C(=O)C2=CCc3c5c7c8c(ccc7c7ccc(c2c37)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C8=CC5)C(=O)C6=CC4,1091.32,-5.14,-3.51,1.63,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.1,255,73
166,66,1.69,1.69,3.66,0.51,0.79,-5.81,-3.75,2.06,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4c1cc2c3c4c(c5c6c7c(ccc6c14)C(=O)N(C(CCCCC)CCCCC)C(=O)C7=CC5)CC=C3C(=O)N(C(CCCCC)CCCCC)C2=O,1399.91,-5.14,-3.51,1.63,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.1,491,73
167,66,5.56,5.56,12.86,0.54,0.79,-5.87,-3.76,2.11,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(N1C(=O)C2=CCc3c5c7c8c(ccc7c7ccc(c2c37)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C8=CC5)C(=O)C6=CC4,1091.32,-5.22,-3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,255,48
168,66,6.41,6.41,13.12,0.6,0.79,-5.81,-3.75,2.06,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4c1cc2c3c4c(c5c6c7c(ccc6c14)C(=O)N(C(CCCCC)CCCCC)C(=O)C7=CC5)CC=C3C(=O)N(C(CCCCC)CCCCC)C2=O,1399.91,-5.22,-3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,491,48
169,67,3.63,3.63,6.96,0.475,1.1,-5.26,-3.6,1.66,CCCCC(CC)CN1C(=O)C2=C(c3ccc(C4=CC5C(C=C4)c4ccc(-c6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)cc4C54c5cc(-c6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)ccc5C5C=CC(c6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)=CC54)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,2411.5,-4.94,-3,1.94,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,489,163
170,67,1.87,1.87,5.21,0.409,0.88,-5.24,-3.55,1.69,CCCCCCCCN1C(=O)C2=C(c3ccc(C4=CC5C(C=C4)c4ccc(-c6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)cc4C54c5cc(-c6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)ccc5C5C=CC(c6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)=CC54)s3)N(CCCCCCCC)C(=O)C2=C1c1cccs1,2411.5,-4.94,-3,1.94,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,423,163
171,67,1.42,1.42,3.88,0.401,0.91,-5.23,-3.57,1.66,CCCCCCCCCCCCN1C(=O)C2=C(c3ccc(C4=CC5C(C=C4)c4ccc(-c6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)cc4C54c5cc(-c6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)ccc5C5C=CC(c6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)=CC54)s3)N(CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,2860.36,-4.94,-3,1.94,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,62,163
172,67,0.76,0.76,2.37,0.426,0.75,-5.3,-3.58,1.72,CCCCC(CC)CN1C(=O)C2=C(c3ccc(C#CC4=CC5C(C=C4)c4ccc(C#Cc6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)cc4C54c5cc(C#Cc6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)ccc5C5C=CC(C#Cc6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9cccs9)=C8C(=O)N7CC(CC)CCCC)s6)=CC54)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,2507.59,-4.94,-3,1.94,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,283,163
173,67,0.28,0.28,1.21,0.289,0.79,-5.29,-3.56,1.73,CCCCCCCCN1C(=O)C2=C(c3ccc(C#CC4=CC5C(C=C4)c4ccc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)cc4C54c5cc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)ccc5C5C=CC(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCC)s6)=CC54)s3)N(CCCCCCCC)C(=O)C2=C1c1cccs1,2507.59,-4.94,-3,1.94,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,621,163
174,67,0.45,0.45,1.96,0.331,0.7,-5.29,-3.57,1.72,CCCCCCCCCCCCN1C(=O)C2=C(c3ccc(C#CC4=CC5C(C=C4)c4ccc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)cc4C54c5cc(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)ccc5C5C=CC(C#Cc6ccc(C7=C8C(=O)N(CCCCCCCCCCCC)C(c9cccs9)=C8C(=O)N7CCCCCCCCCCCC)s6)=CC54)s3)N(CCCCCCCCCCCC)C(=O)C2=C1c1cccs1,2956.45,-4.94,-3,1.94,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,104,163
175,68,2.48,2.45,5.31,0.52,0.9,-6.01,-3.6,2.41,CCCCCCc1cc(-c2cc3c(cc(-c4cc(CCCCCC)c(C#Cc5ccc6c7c(cccc57)C(=O)N(c5ccc7c(c5)C(CCCC)(CCCC)c5ccccc5-7)C6=O)s4)c4nsnc43)c3nsnc23)sc1C#Cc1ccc2c3c(cccc13)C(=O)N(c1ccc3c(c1)C(CCCC)(CCCC)c1ccccc1-3)C2=O,1568.1,-5,-3.1,1.9,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,611,163
176,68,2.81,2.71,5.18,0.6,0.9,-5.95,-3.44,2.51,CCCCCCc1cc(-c2ccc(-c3cc(CCCCCC)c(C#Cc4ccc5c6c(cccc46)C(=O)N(c4ccc6c(c4)C(CCCC)(CCCC)c4ccccc4-6)C5=O)s3)c3nsnc23)sc1C#Cc1ccc2c3c(cccc13)C(=O)N(c1ccc3c(c1)C(CCCC)(CCCC)c1ccccc1-3)C2=O,1459.98,-5,-3.1,1.9,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,484,163
177,69,6,5.7,7,0.635,1.3,-5.5,-3.42,2.08,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc4c5ccc6c7c(ccc(c8cccc3c84)c75)C(=O)N(c3c(C(C)C)cccc3C(C)C)C6=O)ccc2C2C=CC(c3ccc4c5ccc6c7c(ccc(c8cccc3c84)c75)C(=O)N(c3c(C(C)C)cccc3C(C)C)C6=O)=CC21,1351.83,-5.31,-3.34,1.97,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(C)s7)nc6s5)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,46.7,24.6,1.9,469,96
178,70,9.11,8.86,16.1,0.646,0.87,-5.48,-3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.24,-3.42,1.82,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)cc4c(cc(-c5ccc(-c6cc7c(-c8ccc(CC(CCCC)CCCCCC)s8)c8sc(C)cc8c(-c8ccc(CC(CCCC)CCCCCC)s8)c7s6)s5)c5nc(-c6ccc(CCCCCCCC)s6)c(-c6ccc(CCCCCCCC)s6)nc54)c3nc2-c2ccc(CCCCCCCC)s2)s1,53.2,38,1.4,21,63
179,70,11.47,11.02,17.86,0.698,0.92,-5.48,-3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.31,-3.46,1.85,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)cc4c(cc(-c5ccc(-c6cc7c(-c8ccc(SCC(CCCC)CCCCCC)s8)c8sc(C)cc8c(-c8ccc(SCC(CCCC)CCCCCC)s8)c7s6)s5)c5nc(-c6ccc(CCCCCCCC)s6)c(-c6ccc(CCCCCCCC)s6)nc54)c3nc2-c2ccc(CCCCCCCC)s2)s1,68,40,1.7,21,185
180,71,7.04,6.74,12.62,0.5,1.11,-5.83,-3.7,2.13,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4/SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=C4/SC(=S)N(CC)C4=O)c4nsnc34)cc21,1001.43,-5.34,-3.69,1.65,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,140,70,2,82,103
181,72,0.26,0.26,0.84,0.239,1.29,-5.43,-3.43,2,CCCCCCCCn1nc2c(/C=C3/SC(=O)N(CC)C3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=C6/SC(=O)N(CC)C6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,1676.41,-5.32,-3.38,1.94,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3cc(C)sc23)s1,140,70,2,537,204
182,72,3.02,2.98,5.21,0.467,1.24,-5.46,-3.59,1.87,CCCCCCCCn1nc2c(/C=C3/SC(=S)N(CC)C3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=C6/SC(=S)N(CC)C6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,1708.53,-5.32,-3.38,1.94,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3cc(C)sc23)s1,140,70,2,480,204
183,72,8.25,8.03,10.84,0.662,1.15,-5.49,-3.73,1.76,[C-]#[N+]/C(C#N)=c1/s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nn(CCCCCCCC)nc23)c(=O)n1CC,1772.51,-5.32,-3.38,1.94,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3cc(C)sc23)s1,140,70,2,67,204
184,73,11.61,11.39,16.41,0.73,0.97,-5.73,-3.92,1.81,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(CCCCCC)c(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c(CCCCCC)c(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1596.28,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,433,153
185,73,10.21,10.06,16.27,0.69,0.91,-5.68,-4.01,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,21,153
186,74,10.54,10.31,16.55,0.707,0.896,-5.68,-4.01,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,21,153
187,74,11.52,11.31,16.37,0.741,0.95,-5.58,-3.98,1.6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,1456.01,-5.33,-3.53,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,473,153
188,75,7.73,7.5,14.58,0.679,0.78,-5.53,-4,1.53,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3cc4c(cc32)-c2sc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1347.79,-5.21,-3.41,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,35,153
189,75,9.21,8.88,17.31,0.596,0.89,-5.33,-3.89,1.44,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(-c4ccc(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)s4)sc3-c3cc4c(cc32)-c2sc(-c3ccc(/C=C5/C(=O)c6ccccc6C5=C(C#N)C#N)s3)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1512.03,-5.21,-3.41,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,218,153
190,75,4.02,3.86,10.58,0.421,0.9,-5.28,-3.92,1.36,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(-c4cc5sc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)cc5s4)sc3-c3cc4c(cc32)-c2sc(-c3cc5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5s3)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1624.19,-5.21,-3.41,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,78,153
191,76,7.15,6.62,13.51,0.613,0.8,-5.48,-3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.14,-3.35,1.79,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(CC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C,49.3,28.5,1.73,21,1
192,76,8.58,8.02,14.44,0.638,0.87,-5.48,-3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.2,-3.4,1.8,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C,49.2,28.1,1.75,21,184
193,76,9.17,8.74,15.22,0.645,0.89,-5.48,-3.83,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.34,-3.52,1.82,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(-c6cc(F)c(CC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CCCC)CCCCCC)s6)c5s4)s3)c3nsnc23)sc1C,48,27.2,1.76,21,26
