Donor,Acceptor,HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,D_A_ratio_m_m,solvent,solvent_additive,annealing_temperature,hole_contact_layer,electron_contact_layer,PCE_percent,calc_PCE_percent,Voc_V,FF_percent,DA_manual_tokenized,DA_manual_tokenized_aug
PBDB-T,IT-O1,-5.297714285714285,-3.4170000000000003,-5.38,-3.33,1.0,CB,_,130.0,PEDOT:PSS,PFN-Br,11.6,11.62,0.93,72.0,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 281, 79, 219, 221, 219, 79, 281]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 281, 79, 219, 221, 219, 79, 281], [0, 0, 0, 0, 9, 49, 7, 100, 1, 281, 79, 219, 221, 219, 79, 281], [0, 0, 0, 0, 100, 9, 49, 7, 1, 281, 79, 219, 221, 219, 79, 281], [0, 0, 0, 0, 7, 100, 9, 49, 1, 281, 79, 219, 221, 219, 79, 281]]"
PBDB-T,IT-O2,-5.297714285714285,-3.4170000000000003,-5.37,-3.31,1.0,CB,_,130.0,PEDOT:PSS,PFN-Br,9.3,9.31,0.97,62.6,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 282, 79, 219, 221, 219, 79, 282]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 282, 79, 219, 221, 219, 79, 282], [0, 0, 0, 0, 9, 49, 7, 100, 1, 282, 79, 219, 221, 219, 79, 282], [0, 0, 0, 0, 100, 9, 49, 7, 1, 282, 79, 219, 221, 219, 79, 282], [0, 0, 0, 0, 7, 100, 9, 49, 1, 282, 79, 219, 221, 219, 79, 282]]"
PBDB-T,IT-O3,-5.297714285714285,-3.4170000000000003,-5.36,-3.31,1.0,CB,_,130.0,PEDOT:PSS,PFN-Br,4.9,4.94,0.98,51.4,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 283, 79, 219, 221, 219, 79, 283]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 283, 79, 219, 221, 219, 79, 283], [0, 0, 0, 0, 9, 49, 7, 100, 1, 283, 79, 219, 221, 219, 79, 283], [0, 0, 0, 0, 100, 9, 49, 7, 1, 283, 79, 219, 221, 219, 79, 283], [0, 0, 0, 0, 7, 100, 9, 49, 1, 283, 79, 219, 221, 219, 79, 283]]"
PBDB-T,IT-O4,-5.297714285714285,-3.4170000000000003,-5.35,-3.3,1.0,CB,_,130.0,PEDOT:PSS,PFN-Br,4.2,4.17,0.95,47.9,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 284, 79, 219, 221, 219, 79, 284]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 284, 79, 219, 221, 219, 79, 284], [0, 0, 0, 0, 9, 49, 7, 100, 1, 284, 79, 219, 221, 219, 79, 284], [0, 0, 0, 0, 100, 9, 49, 7, 1, 284, 79, 219, 221, 219, 79, 284], [0, 0, 0, 0, 7, 100, 9, 49, 1, 284, 79, 219, 221, 219, 79, 284]]"
PTPDBDT,ITIC,-5.6,-3.75,-5.574146341463415,-3.915,1.0,CF:n-hexane (9:1),_,25.0,PEDOT:PSS,MoOx,6.4,6.39,1.04,58.0,"[0, 0, 0, 0, 0, 0, 49, 110, 1, 222, 79, 219, 221, 219, 79, 222]","[[0, 0, 0, 0, 0, 0, 49, 110, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 0, 0, 110, 49, 1, 222, 79, 219, 221, 219, 79, 222]]"
PTPDBDT,F-ITIC,-5.6,-3.75,-5.65,-4.09,1.0,CF:n-hexane (9:1),_,150.0,PEDOT:PSS,MoOx,8.8,8.75,0.94,66.0,"[0, 0, 0, 0, 0, 0, 49, 110, 1, 264, 79, 219, 221, 219, 79, 264]","[[0, 0, 0, 0, 0, 0, 49, 110, 1, 264, 79, 219, 221, 219, 79, 264], [0, 0, 0, 0, 0, 0, 110, 49, 1, 264, 79, 219, 221, 219, 79, 264]]"
PTPDBDT,Cl-ITIC,-5.6,-3.75,-5.7,-4.14,1.0,CF:n-hexane (9:1),_,150.0,PEDOT:PSS,MoOx,9.5,9.53,0.94,65.0,"[0, 0, 0, 0, 0, 0, 49, 110, 1, 368, 79, 219, 221, 219, 79, 368]","[[0, 0, 0, 0, 0, 0, 49, 110, 1, 368, 79, 219, 221, 219, 79, 368], [0, 0, 0, 0, 0, 0, 110, 49, 1, 368, 79, 219, 221, 219, 79, 368]]"
PTPDBDT,Br-ITIC,-5.6,-3.75,-5.73,-4.2,1.0,CF:n-hexane (9:1),_,150.0,PEDOT:PSS,MoOx,9.4,9.45,0.93,66.0,"[0, 0, 0, 0, 0, 0, 49, 110, 1, 292, 79, 219, 221, 219, 79, 292]","[[0, 0, 0, 0, 0, 0, 49, 110, 1, 292, 79, 219, 221, 219, 79, 292], [0, 0, 0, 0, 0, 0, 110, 49, 1, 292, 79, 219, 221, 219, 79, 292]]"
PTPDBDT,I-ITIC,-5.6,-3.75,-5.68,-4.14,1.0,CF:n-hexane (9:1),_,150.0,PEDOT:PSS,MoOx,8.9,8.77,0.93,65.0,"[0, 0, 0, 0, 0, 0, 49, 110, 1, 293, 79, 219, 221, 219, 79, 293]","[[0, 0, 0, 0, 0, 0, 49, 110, 1, 293, 79, 219, 221, 219, 79, 293], [0, 0, 0, 0, 0, 0, 110, 49, 1, 293, 79, 219, 221, 219, 79, 293]]"
PBDB-T,NFBDT,-5.297714285714285,-3.4170000000000003,-5.400000000000001,-3.83,1.25,CF,_,25.0,PEDOT:PSS,PDIN,10.15,9.93,0.863,66.3,"[0, 0, 49, 7, 100, 9, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222]","[[0, 0, 49, 7, 100, 9, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222], [0, 0, 9, 49, 7, 100, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222], [0, 0, 100, 9, 49, 7, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222], [0, 0, 7, 100, 9, 49, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222]]"
PBDB-T,NCBDT,-5.297714285714285,-3.4170000000000003,-5.36,-3.89,1.25,CF,_,25.0,PEDOT:PSS,PDINO,11.62,11.57,0.835,70.2,"[0, 0, 49, 7, 100, 9, 1, 264, 7, 219, 218, 294, 218, 219, 7, 264]","[[0, 0, 49, 7, 100, 9, 1, 264, 7, 219, 218, 294, 218, 219, 7, 264], [0, 0, 9, 49, 7, 100, 1, 264, 7, 219, 218, 294, 218, 219, 7, 264], [0, 0, 100, 9, 49, 7, 1, 264, 7, 219, 218, 294, 218, 219, 7, 264], [0, 0, 7, 100, 9, 49, 1, 264, 7, 219, 218, 294, 218, 219, 7, 264]]"
PBDB-T,NFBDT,-5.297714285714285,-3.4170000000000003,-5.400000000000001,-3.83,1.25,CF,_,25.0,PEDOT:PSS,PDINO,10.42,10.41,0.868,67.2,"[0, 0, 49, 7, 100, 9, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222]","[[0, 0, 49, 7, 100, 9, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222], [0, 0, 9, 49, 7, 100, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222], [0, 0, 100, 9, 49, 7, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222], [0, 0, 7, 100, 9, 49, 1, 222, 7, 219, 218, 221, 218, 219, 7, 222]]"
J71,ZITI-4F,-5.353333333333333,-3.4318181818181825,-5.66,-3.81,1.0,CF,_,120.0,PEDOT:PSS,PNDIT-F3N,13.18,13.17,0.85,72.76,"[0, 0, 0, 0, 6, 7, 8, 9, 1, 217, 295, 221, 296, 221, 295, 217]","[[0, 0, 0, 0, 6, 7, 8, 9, 1, 217, 295, 221, 296, 221, 295, 217], [0, 0, 0, 0, 9, 6, 7, 8, 1, 217, 295, 221, 296, 221, 295, 217], [0, 0, 0, 0, 8, 9, 6, 7, 1, 217, 295, 221, 296, 221, 295, 217], [0, 0, 0, 0, 7, 8, 9, 6, 1, 217, 295, 221, 296, 221, 295, 217]]"
J71,ZITI,-5.353333333333333,-3.4318181818181825,-5.550000000000001,-3.78,1.0,CF,_,120.0,PEDOT:PSS,PNDIT-F3N,13.04,12.91,0.93,68.61,"[0, 0, 6, 7, 8, 9, 1, 264, 7, 348, 221, 349, 221, 348, 7, 264]","[[0, 0, 6, 7, 8, 9, 1, 264, 7, 348, 221, 349, 221, 348, 7, 264], [0, 0, 9, 6, 7, 8, 1, 264, 7, 348, 221, 349, 221, 348, 7, 264], [0, 0, 8, 9, 6, 7, 1, 264, 7, 348, 221, 349, 221, 348, 7, 264], [0, 0, 7, 8, 9, 6, 1, 264, 7, 348, 221, 349, 221, 348, 7, 264]]"
PBDB-T,DTCCIC-C17,-5.297714285714285,-3.4170000000000003,-5.46,-3.65,0.667,CB,DIO,25.0,MoOx,ZnO,9.02,9.02,0.96,67.0,"[0, 0, 49, 7, 100, 9, 1, 222, 7, 297, 221, 298, 221, 297, 7, 222]","[[0, 0, 49, 7, 100, 9, 1, 222, 7, 297, 221, 298, 221, 297, 7, 222], [0, 0, 9, 49, 7, 100, 1, 222, 7, 297, 221, 298, 221, 297, 7, 222], [0, 0, 100, 9, 49, 7, 1, 222, 7, 297, 221, 298, 221, 297, 7, 222], [0, 0, 7, 100, 9, 49, 1, 222, 7, 297, 221, 298, 221, 297, 7, 222]]"
P3HT,O-IDTBR,-5.057777777777777,-2.989444444444445,-5.535,-3.74,1.0,CB,_,130.0,MoOx,ZnO,6.3,6.0,0.72,60.0,"[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240]","[[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 0, 194, 41, 40, 40, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 0, 40, 194, 41, 40, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 0, 40, 40, 194, 41, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240]]"
P3HT,EH-IDTBR,-5.057777777777777,-2.989444444444445,-5.58,-3.9,1.0,CB,_,130.0,MoOx,ZnO,6.0,5.7,0.76,62.0,"[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240]","[[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240], [0, 0, 194, 41, 40, 40, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240], [0, 0, 40, 194, 41, 40, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240], [0, 0, 40, 40, 194, 41, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240]]"
P3HT,FBR,-5.057777777777777,-2.989444444444445,-5.786666666666666,-3.673333333333333,1.0,CF:DCB (80:20),_,110.0,MoO3,ZnO,4.11,4.11,0.82,63.0,"[0, 0, 0, 0, 41, 40, 40, 194, 1, 240, 56, 221, 225, 221, 56, 240]","[[0, 0, 0, 0, 41, 40, 40, 194, 1, 240, 56, 221, 225, 221, 56, 240], [0, 0, 0, 0, 194, 41, 40, 40, 1, 240, 56, 221, 225, 221, 56, 240], [0, 0, 0, 0, 40, 194, 41, 40, 1, 240, 56, 221, 225, 221, 56, 240], [0, 0, 0, 0, 40, 40, 194, 41, 1, 240, 56, 221, 225, 221, 56, 240]]"
PBDB-T,IDTCN,-5.297714285714285,-3.4170000000000003,-5.890000000000001,-3.93,1.0,CB,DIO,110.0,MoOx,ZnO,6.4,6.4,0.85,62.48,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 255, 7, 219, 221, 219, 7, 255]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 255, 7, 219, 221, 219, 7, 255], [0, 0, 0, 0, 9, 49, 7, 100, 1, 255, 7, 219, 221, 219, 7, 255], [0, 0, 0, 0, 100, 9, 49, 7, 1, 255, 7, 219, 221, 219, 7, 255], [0, 0, 0, 0, 7, 100, 9, 49, 1, 255, 7, 219, 221, 219, 7, 255]]"
P3HT,NAI-FN-NAI(BO),-5.057777777777777,-2.989444444444445,-6.07,-3.96,1.0,CB,_,25.0,PEDOT:PSS,LiF,3.8,3.93,0.9,47.0,"[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 299, 7, 300, 7, 299]","[[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 299, 7, 300, 7, 299], [0, 0, 0, 0, 0, 0, 194, 41, 40, 40, 1, 299, 7, 300, 7, 299], [0, 0, 0, 0, 0, 0, 40, 194, 41, 40, 1, 299, 7, 300, 7, 299], [0, 0, 0, 0, 0, 0, 40, 40, 194, 41, 1, 299, 7, 300, 7, 299]]"
P3HT,NAI-FN-NAI(DT),-5.057777777777777,-2.989444444444445,-6.09,-3.97,1.0,CB,_,25.0,PEDOT:PSS,LiF,0.75,0.79,0.89,35.0,"[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 376, 7, 300, 7, 376]","[[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 376, 7, 300, 7, 376], [0, 0, 0, 0, 0, 0, 194, 41, 40, 40, 1, 376, 7, 300, 7, 376], [0, 0, 0, 0, 0, 0, 40, 194, 41, 40, 1, 376, 7, 300, 7, 376], [0, 0, 0, 0, 0, 0, 40, 40, 194, 41, 1, 376, 7, 300, 7, 376]]"
P3HT,PI-FN-PI(DT),-5.057777777777777,-2.989444444444445,-6.02,-3.92,1.0,CB,_,25.0,PEDOT:PSS,LiF,2.2,2.16,0.91,48.0,"[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 377, 7, 300, 7, 377]","[[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 377, 7, 300, 7, 377], [0, 0, 0, 0, 0, 0, 194, 41, 40, 40, 1, 377, 7, 300, 7, 377], [0, 0, 0, 0, 0, 0, 40, 194, 41, 40, 1, 377, 7, 300, 7, 377], [0, 0, 0, 0, 0, 0, 40, 40, 194, 41, 1, 377, 7, 300, 7, 377]]"
PTzBI,ITIC,-5.34,-3.46,-5.574146341463415,-3.915,1.0,CB,DBE,130.0,PEDOT:PSS,PFN-Br,10.24,10.24,0.87,64.34,"[0, 0, 0, 0, 49, 7, 111, 9, 1, 222, 79, 219, 221, 219, 79, 222]","[[0, 0, 0, 0, 49, 7, 111, 9, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 9, 49, 7, 111, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 111, 9, 49, 7, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 7, 111, 9, 49, 1, 222, 79, 219, 221, 219, 79, 222]]"
P3HT,NAI-FN-NAI(HD),-5.057777777777777,-2.989444444444445,-6.06,-3.98,1.0,CB,_,25.0,PEDOT:PSS,LiF,2.8,2.86,0.88,43.0,"[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 301, 7, 300, 7, 301]","[[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 301, 7, 300, 7, 301], [0, 0, 0, 0, 0, 0, 194, 41, 40, 40, 1, 301, 7, 300, 7, 301], [0, 0, 0, 0, 0, 0, 40, 194, 41, 40, 1, 301, 7, 300, 7, 301], [0, 0, 0, 0, 0, 0, 40, 40, 194, 41, 1, 301, 7, 300, 7, 301]]"
P3HT,NAI-FCN-NAI(BO),-5.057777777777777,-2.989444444444445,-6.14,-4.21,1.0,CB,_,25.0,PEDOT:PSS,LiF,0.8,0.74,0.58,39.0,"[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 299, 7, 302, 7, 299]","[[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 299, 7, 302, 7, 299], [0, 0, 0, 0, 0, 0, 194, 41, 40, 40, 1, 299, 7, 302, 7, 299], [0, 0, 0, 0, 0, 0, 40, 194, 41, 40, 1, 299, 7, 302, 7, 299], [0, 0, 0, 0, 0, 0, 40, 40, 194, 41, 1, 299, 7, 302, 7, 299]]"
FTAZ,INIC,-5.43,-3.3200000000000003,-5.45,-3.88,0.667,CF,DIO,25.0,MoOx,ZnO,7.7,7.49,0.957,57.9,"[0, 0, 0, 0, 60, 7, 20, 9, 1, 222, 269, 219, 221, 219, 269, 222]","[[0, 0, 0, 0, 60, 7, 20, 9, 1, 222, 269, 219, 221, 219, 269, 222], [0, 0, 0, 0, 9, 60, 7, 20, 1, 222, 269, 219, 221, 219, 269, 222], [0, 0, 0, 0, 20, 9, 60, 7, 1, 222, 269, 219, 221, 219, 269, 222], [0, 0, 0, 0, 7, 20, 9, 60, 1, 222, 269, 219, 221, 219, 269, 222]]"
FTAZ,INIC1,-5.43,-3.3200000000000003,-5.54,-3.97,0.667,CF,DIO,25.0,MoOx,ZnO,10.1,9.93,0.929,64.3,"[0, 0, 0, 0, 60, 7, 20, 9, 1, 303, 269, 219, 221, 219, 269, 303]","[[0, 0, 0, 0, 60, 7, 20, 9, 1, 303, 269, 219, 221, 219, 269, 303], [0, 0, 0, 0, 9, 60, 7, 20, 1, 303, 269, 219, 221, 219, 269, 303], [0, 0, 0, 0, 20, 9, 60, 7, 1, 303, 269, 219, 221, 219, 269, 303], [0, 0, 0, 0, 7, 20, 9, 60, 1, 303, 269, 219, 221, 219, 269, 303]]"
FTAZ,INIC2,-5.43,-3.3200000000000003,-5.52,-3.98,0.667,CF,DIO,25.0,MoOx,ZnO,10.8,10.59,0.903,66.8,"[0, 0, 0, 0, 60, 7, 20, 9, 1, 304, 269, 219, 221, 219, 269, 304]","[[0, 0, 0, 0, 60, 7, 20, 9, 1, 304, 269, 219, 221, 219, 269, 304], [0, 0, 0, 0, 9, 60, 7, 20, 1, 304, 269, 219, 221, 219, 269, 304], [0, 0, 0, 0, 20, 9, 60, 7, 1, 304, 269, 219, 221, 219, 269, 304], [0, 0, 0, 0, 7, 20, 9, 60, 1, 304, 269, 219, 221, 219, 269, 304]]"
FTAZ,INIC3,-5.43,-3.3200000000000003,-5.52,-4.02,0.667,CF,DIO,25.0,MoOx,ZnO,11.5,11.23,0.857,67.4,"[0, 0, 0, 0, 60, 7, 20, 9, 1, 217, 269, 219, 221, 219, 269, 217]","[[0, 0, 0, 0, 60, 7, 20, 9, 1, 217, 269, 219, 221, 219, 269, 217], [0, 0, 0, 0, 9, 60, 7, 20, 1, 217, 269, 219, 221, 219, 269, 217], [0, 0, 0, 0, 20, 9, 60, 7, 1, 217, 269, 219, 221, 219, 269, 217], [0, 0, 0, 0, 7, 20, 9, 60, 1, 217, 269, 219, 221, 219, 269, 217]]"
PTB7-Th,F6IC,-5.204782608695651,-3.5391891891891896,-5.66,-4.02,0.588,CF,DPE,25.0,MoOx,ZnO,7.1,7.07,0.611,64.0,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 7, 219, 79, 219, 7, 217]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 7, 219, 79, 219, 7, 217], [0, 0, 0, 0, 0, 0, 101, 49, 1, 217, 7, 219, 79, 219, 7, 217]]"
PTB7-Th,F8IC,-5.204782608695651,-3.5391891891891896,-5.43,-4.0,0.588,CF,DPE,25.0,MoOx,ZnO,10.9,10.87,0.64,67.6,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 79, 219, 79, 219, 79, 217]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 79, 219, 79, 219, 79, 217], [0, 0, 0, 0, 0, 0, 101, 49, 1, 217, 79, 219, 79, 219, 79, 217]]"
PTB7-Th,F10IC,-5.204782608695651,-3.5391891891891896,-5.26,-3.96,0.588,CF,DPE,25.0,MoOx,ZnO,10.2,10.16,0.73,66.8,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 269, 219, 79, 219, 269, 217]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 269, 219, 79, 219, 269, 217], [0, 0, 0, 0, 0, 0, 101, 49, 1, 217, 269, 219, 79, 219, 269, 217]]"
PBDTTT-C-T,DC-IDT2T,-5.128,-3.268,-5.43,-3.85,1.2,o-DCB:CF (6.667:1),_,25.0,PEDOT:PSS,Ca,3.93,3.92,0.9,52.3,"[0, 0, 0, 0, 49, 112, 1, 222, 7, 7, 219, 221, 219, 7, 7, 222]","[[0, 0, 0, 0, 49, 112, 1, 222, 7, 7, 219, 221, 219, 7, 7, 222], [0, 0, 0, 0, 112, 49, 1, 222, 7, 7, 219, 221, 219, 7, 7, 222]]"
Pff4TBT-2DT,FBR,-5.34,-3.7,-5.786666666666666,-3.673333333333333,1.0,CB,_,25.0,MoOx,ZnO,7.8,7.86,1.12,61.0,"[0, 0, 0, 113, 22, 114, 7, 9, 1, 240, 56, 221, 225, 221, 56, 240]","[[0, 0, 0, 113, 22, 114, 7, 9, 1, 240, 56, 221, 225, 221, 56, 240], [0, 0, 0, 9, 113, 22, 114, 7, 1, 240, 56, 221, 225, 221, 56, 240], [0, 0, 0, 7, 9, 113, 22, 114, 1, 240, 56, 221, 225, 221, 56, 240], [0, 0, 0, 114, 7, 9, 113, 22, 1, 240, 56, 221, 225, 221, 56, 240], [0, 0, 0, 22, 114, 7, 9, 113, 1, 240, 56, 221, 225, 221, 56, 240]]"
Pff4TBT-2DT,FTTB,-5.34,-3.7,-5.65,-3.62,1.0,CB,_,25.0,MoOx,ZnO,5.0,4.87,1.05,45.0,"[0, 0, 0, 113, 22, 114, 7, 9, 1, 266, 7, 221, 225, 221, 7, 266]","[[0, 0, 0, 113, 22, 114, 7, 9, 1, 266, 7, 221, 225, 221, 7, 266], [0, 0, 0, 9, 113, 22, 114, 7, 1, 266, 7, 221, 225, 221, 7, 266], [0, 0, 0, 7, 9, 113, 22, 114, 1, 266, 7, 221, 225, 221, 7, 266], [0, 0, 0, 114, 7, 9, 113, 22, 1, 266, 7, 221, 225, 221, 7, 266], [0, 0, 0, 22, 114, 7, 9, 113, 1, 266, 7, 221, 225, 221, 7, 266]]"
Pff4TBT-2DT,IDFBR,-5.34,-3.7,-5.75,-3.7,1.0,CB,_,25.0,MoOx,ZnO,1.75,1.81,1.08,38.0,"[0, 113, 22, 114, 7, 9, 1, 240, 56, 221, 260, 221, 260, 221, 56, 240]","[[0, 113, 22, 114, 7, 9, 1, 240, 56, 221, 260, 221, 260, 221, 56, 240], [0, 9, 113, 22, 114, 7, 1, 240, 56, 221, 260, 221, 260, 221, 56, 240], [0, 7, 9, 113, 22, 114, 1, 240, 56, 221, 260, 221, 260, 221, 56, 240], [0, 114, 7, 9, 113, 22, 1, 240, 56, 221, 260, 221, 260, 221, 56, 240], [0, 22, 114, 7, 9, 113, 1, 240, 56, 221, 260, 221, 260, 221, 56, 240]]"
Pff4TBT-2DT,IDTBR,-5.34,-3.7,-5.5,-3.9,1.0,CB,_,25.0,MoOx,ZnO,9.95,9.95,1.07,62.0,"[0, 113, 22, 114, 7, 9, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240]","[[0, 113, 22, 114, 7, 9, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 9, 113, 22, 114, 7, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 7, 9, 113, 22, 114, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 114, 7, 9, 113, 22, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 22, 114, 7, 9, 113, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240]]"
J71,TTz1,-5.353333333333333,-3.4318181818181825,-5.59,-3.66,0.5,CF,DIO,25.0,MoOx,ZnO,8.77,8.77,0.9,63.18,"[0, 0, 0, 0, 6, 7, 8, 9, 1, 305, 56, 135, 120, 306, 56, 305]","[[0, 0, 0, 0, 6, 7, 8, 9, 1, 305, 56, 135, 120, 306, 56, 305], [0, 0, 0, 0, 9, 6, 7, 8, 1, 305, 56, 135, 120, 306, 56, 305], [0, 0, 0, 0, 8, 9, 6, 7, 1, 305, 56, 135, 120, 306, 56, 305], [0, 0, 0, 0, 7, 8, 9, 6, 1, 305, 56, 135, 120, 306, 56, 305]]"
J71,TTz2,-5.353333333333333,-3.4318181818181825,-5.45,-3.5,0.5,CF,DIO,25.0,MoOx,ZnO,6.3,6.3,0.92,53.73,"[0, 0, 0, 0, 6, 7, 8, 9, 1, 236, 56, 135, 120, 306, 56, 236]","[[0, 0, 0, 0, 6, 7, 8, 9, 1, 236, 56, 135, 120, 306, 56, 236], [0, 0, 0, 0, 9, 6, 7, 8, 1, 236, 56, 135, 120, 306, 56, 236], [0, 0, 0, 0, 8, 9, 6, 7, 1, 236, 56, 135, 120, 306, 56, 236], [0, 0, 0, 0, 7, 8, 9, 6, 1, 236, 56, 135, 120, 306, 56, 236]]"
PBDB-T,FTIC-C8C6,-5.297714285714285,-3.4170000000000003,-5.62,-3.83,1.0,DCB,DIO,25.0,MoOx,PFN-Br,9.91,9.99,0.92,67.46,"[0, 0, 49, 7, 100, 9, 1, 222, 7, 234, 221, 225, 221, 234, 7, 222]","[[0, 0, 49, 7, 100, 9, 1, 222, 7, 234, 221, 225, 221, 234, 7, 222], [0, 0, 9, 49, 7, 100, 1, 222, 7, 234, 221, 225, 221, 234, 7, 222], [0, 0, 100, 9, 49, 7, 1, 222, 7, 234, 221, 225, 221, 234, 7, 222], [0, 0, 7, 100, 9, 49, 1, 222, 7, 234, 221, 225, 221, 234, 7, 222]]"
PBDB-T,FTIC-C6C6,-5.297714285714285,-3.4170000000000003,-5.6,-3.81,1.0,DCB,DIO,25.0,MoOx,PFN-Br,9.18,9.21,0.91,63.17,"[0, 0, 49, 7, 100, 9, 1, 222, 7, 234, 221, 234, 221, 234, 7, 222]","[[0, 0, 49, 7, 100, 9, 1, 222, 7, 234, 221, 234, 221, 234, 7, 222], [0, 0, 9, 49, 7, 100, 1, 222, 7, 234, 221, 234, 221, 234, 7, 222], [0, 0, 100, 9, 49, 7, 1, 222, 7, 234, 221, 234, 221, 234, 7, 222], [0, 0, 7, 100, 9, 49, 1, 222, 7, 234, 221, 234, 221, 234, 7, 222]]"
PBDB-T,FTIC-C6C8,-5.297714285714285,-3.4170000000000003,-5.64,-3.81,1.0,DCB,DIO,25.0,MoOx,PFN-Br,11.12,11.05,0.92,64.72,"[0, 0, 49, 7, 100, 9, 1, 222, 7, 225, 221, 234, 221, 225, 7, 222]","[[0, 0, 49, 7, 100, 9, 1, 222, 7, 225, 221, 234, 221, 225, 7, 222], [0, 0, 9, 49, 7, 100, 1, 222, 7, 225, 221, 234, 221, 225, 7, 222], [0, 0, 100, 9, 49, 7, 1, 222, 7, 225, 221, 234, 221, 225, 7, 222], [0, 0, 7, 100, 9, 49, 1, 222, 7, 225, 221, 234, 221, 225, 7, 222]]"
PBDB-T,IXIC,-5.297714285714285,-3.4170000000000003,-5.13,-3.78,1.0,CF,_,100.0,PEDOT:PSS,ZrAcAc,11.3,11.21,0.82,65.4,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 222, 79, 219, 79, 219, 79, 222]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 222, 79, 219, 79, 219, 79, 222], [0, 0, 0, 0, 9, 49, 7, 100, 1, 222, 79, 219, 79, 219, 79, 222], [0, 0, 0, 0, 100, 9, 49, 7, 1, 222, 79, 219, 79, 219, 79, 222], [0, 0, 0, 0, 7, 100, 9, 49, 1, 222, 79, 219, 79, 219, 79, 222]]"
