,SMILES
53,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
54,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
55,[R4]N1C(=O)C2C(C(=O)N([R4])C2c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)C1c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1
56,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5cc([R14])c(C=O)cc5[R14])cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3cc([R14])c(C=O)cc3[R14])sc2-4)cc1
57,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5cc([R14])c(C=O)cc5[R14])cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3cc([R14])c(C=O)cc3[R14])sc2-4)cc1
58,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1
59,*c1ccc(C2(c3ccc(*)cc3)c3c(sc4cc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(C=C4C(=O)c6cc(F)ccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(*)cc2)c2ccc(*)cc2)cc1
60,[R2][Si]1([R2])c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
61,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)cc1
62,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCC)cc5C4=C(C#N)C#N)sc23)cc1
63,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCC)cc5C4=C(C#N)C#N)sc23)cc1
64,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCCC)cc5C4=C(C#N)C#N)sc23)cc1
65,[R2][Si]1([R2])c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]4([R2])[R2]
66,[R2][Si]1([R2])c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c(O[R7])c4c5c(sc4c(O[R7])c3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]5([R2])[R2]
67,*C1(*)c2cc(-c3ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s3)sc2-c2c1ccc1c3c(ccc21)C(*)(*)c1cc(-c2ccc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)s2)sc1-3
68,*C1(*)c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2-c2c1ccc1c3c(ccc21)C(*)(*)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
69,*[Si]1(*)c2cc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(C=C2C(=O)c3cc(F)ccc3C2=C(C#N)C#N)cc1[Si]4(*)*
70,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5cc(F)c(/C=c6\sc(=C(C#N)C#N)n(CCCCCCCC)c6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3cc(F)c(/C=c5\sc(=C(C#N)C#N)n(CCCCCCCC)c5=O)c5nsnc35)sc2-4)cc1
