,SMILES
266,[R4]Oc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc([R14])cc1)c1ccc([R14])cc1)-c1sc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2O[R4])cc1C3(c1ccc([R14])cc1)c1ccc([R14])cc1
267,[R4]Oc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)csc1-c1cc2c(s1)-c1cc3c(cc1C2(c1ccc([R14])cc1)c1ccc([R14])cc1)-c1sc(-c2scc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c2O[R4])cc1C3(c1ccc([R14])cc1)c1ccc([R14])cc1
268,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
269,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=CC=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=CC=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1
270,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc5cc(/C=C/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1
271,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
272,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
273,[R14]C1([R14])c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C([R14])([R14])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
274,[R4]Oc1c2sc3c(c2c(O[R4])c2sc4c(c12)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)sc1-4)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
275,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
276,[R2]n1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3cc4c(cc3-5)C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn([R2])nc56)sc34)c2n1
277,[R7]c1ccc(C2(c3ccc([R7])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R7])cc2)(c2ccc([R7])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc23)cc1
278,[R7]Oc1ccc(C2(c3ccc(O[R7])cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(O[R7])cc2)(c2ccc(O[R7])cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc23)cc1
279,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
280,[R2]C1([R2])c2cc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)ccc2-c2ccc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc21
281,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1
282,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC(F)(F)F)C6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC(F)(F)F)C5=O)c5nsnc35)sc2-4)cc1
283,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(COC)C6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(COC)C5=O)c5nsnc35)sc2-4)cc1
284,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(N7CCCCC7)C6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(N6CCCCC6)C5=O)c5nsnc35)sc2-4)cc1
285,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
286,[R14]Oc1ccc(C2(c3ccc(O[R14])cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(O[R14])cc2)(c2ccc(O[R14])cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
287,[R14]Oc1ccc2c(c1)-c1cc(O[R14])ccc1C21c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C1(c2ccc(O[R14])cc2-c2cc(O[R14])ccc21)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
288,[R2]c1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C([R2])([R2])c1cc3c(cc1-2)C([R2])([R2])c1cc(-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc2[R2])ccc1-3
289,[R2]C1([R2])c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)cc1C3([R2])[R2]
290,[R2]c1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C([R2])([R2])c1cc3c(cc1-2)C([R2])([R2])c1cc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2[R2])ccc1-3
291,[R2]C1([R2])c2cc(-c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s2)cc1C3([R2])[R2]
292,*Oc1c2sc3c(c2c(O*)c2sc4c(c12)C(c1ccc(*)cc1)(c1ccc(*)cc1)c1cc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(*)cc1)(c1ccc(*)cc1)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
293,[R4]Oc1c2sc3c(c2c(O[R4])c2sc4c(c12)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c5cc(F)c(F)cc5C2=C(C#N)C#N)sc1-4)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3
294,[R1]c1ccc(C2(c3ccc([R1])cc3)c3cc4c(cc3-c3sc(-c5sc(/C=c6/sc(=C(C#N)C#N)n(CCCCCCCC)c6=O)c6cc(C(F)(F)F)sc56)cc32)C(c2ccc([R1])cc2)(c2ccc([R1])cc2)c2cc(-c3sc(/C=c5/sc(=C(C#N)C#N)n(CCCCCCCC)c5=O)c5cc(C(F)(F)F)sc35)sc2-4)cc1
