ref,ref number from paper,reference link,DOI,Donor,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),HTL,HTL energy level (eV),HTL thickness (nm),ETL,ETL energy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),Voc (V),Jsc (mA cm^-2),FF (%),PCE (%)
293,153,link,10.1002/adfm.201705095,PBDB-T,,,,,,,1.6,ITC6-IC,-5.73,-3.92,,1.6,1:1,CB,,12.5,_,0,110,125,10,MoOx,,10,ZnO,,,2.63E-04,1.93E-04,0.97,16.41,73,11.61
294,154,link,10.1039/C8EE02560F,J71,,,,,,,,ITC6-IC,,,,,,CF,,12,_,0,93,,,PEDOT:PSS,,40,PDINO,,,5.00E-04,,0.938,18.35,65.77,11.32
558,154,link,10.1039/C8EE02560F,PTQ10,,,,,,,,IDIC,,,,,,CF,,12,_,0,112,,,PEDOT:PSS,,40,PDINO,,,7.23E-03,,0.943,18.75,69.66,12.32
559,154,link,10.1039/C8EE02560F,J71,,,,,,,,MeIC,,,,,,CF,,12,_,0,103,,,PEDOT:PSS,,40,PDINO,,,5.56E-04,,0.919,17.77,69.89,11.43
560,154,link,10.1039/C8EE02560F,J71,,,,,,,,ITCPTC,,,,,,CF,,12,_,0,90,,,PEDOT:PSS,,40,PDINO,,,2.22E-04,,0.881,17.46,67.96,10.46
561,154,link,10.1039/C8EE02560F,J71,,,,,,,,ITIC,,,,,,CF,,12,_,0,102,,,PEDOT:PSS,,40,PDINO,,,2.09E-04,,0.93,18.06,65.75,10.95
295,155,link,10.1016/j.nanoen.2018.11.067,PBDB-TF,,,,-5.5,-3.75,,,IT-4F,-5.64,-4.06,,,1:1,CB,,20,DIO,0.5,100,25,0,PEDOT:PSS,,40,PFN-Br,,,2.26E-04,6.27E-05,0.86,20.8,74.5,13.37
296,155,link,10.1016/j.nanoen.2018.11.067,PBDB-TF,,,,-5.5,-3.75,,,ITIC,-5.62,-3.87,,,1:1,CB,,20,DIO,0.5,100,25,0,PEDOT:PSS,,40,PFN-Br,,,1.14E-04,2.32E-04,1,16.1,66.07,10.64
297,156,link,10.1002/marc.201800393,PBDB-T,,,,-5.33,-3.16,,,ATT-6,-5.45,-3.61,,1.53,1:1,CF,,15,_,0,,160,10,PEDOT:PSS,,30,PDINO,,30,5.37E-05,2.44E-05,0.96,14.66,59.37,8.22
298,156,link,10.1002/marc.201800393,PBDB-T,,,,-5.33,-3.16,,,ATT-7,-5.48,-3.66,,1.54,1:1,CF,,15,_,0,,160,10,PEDOT:PSS,,30,PDINO,,30,7.25E-05,5.35E-05,0.97,15.99,66.67,10.12
299,157,link,10.1038/s41467-019-08386-9,PBDB-T,,,,-5.39,-3.5,,,Y1,-5.45,-3.95,,1.44,1:1,CB,3000,16,CN,0.8,100,25,0,MoOx,,15,ZnO,,30,1.56E-03,3.04E-04,0.87,22.44,69.1,13.42
300,157,link,10.1038/s41467-019-08386-9,PBDB-T,,,,-5.39,-3.5,,,Y2,-5.43,-4.04,,1.4,1:1,CB,3000,16,CN,0.8,100,25,0,MoOx,,15,ZnO,,30,2.59E-03,2.08E-04,0.82,23.56,69.4,13.40
301,158,link,10.1021/acs.chemmater.8b04087,PBDB-T,,,,-5.26,-3.63,,,BDTS-4Cl,-5.45,-3.82,,1.46,1:1,CF,,,_,0,110,25,0,PEDOT:PSS,,15,PDINO,,,2.74E-04,7.80E-05,0.83,9.8,45.9,3.73
302,158,link,10.1021/acs.chemmater.8b04087,PBDB-T,,,,-5.26,-3.63,,,BDTC-4Cl,-5.35,-3.75,,1.42,1:1,CF,,,_,0,110,25,0,PEDOT:PSS,,15,PDINO,,,1.47E-04,1.06E-04,0.864,18.56,59.5,9.54
303,159,link,10.1002/aenm.201802686,PTBB-o,2,22.4,,-5.52,-3.37,,1.89,ITCPTC,-5.62,-3.96,,,1:1,CF,2500,16,_,0,110,100,5,MoOx,,5,ZnO,,,5.38E-05,2.09E-04,0.99,7.35,30.5,2.14
304,159,link,10.1002/aenm.201802686,PTBB-m,1.8,24.6,,-5.48,-3.42,,1.88,ITCPTC,-5.62,-3.96,,,1:1,CF,2500,16,_,0,110,100,5,MoOx,,5,ZnO,,,2.28E-04,2.15E-04,0.97,15.04,48.4,7.07
305,159,link,10.1002/aenm.201802686,PTBB-p,1.9,37,,-5.41,-3.49,,1.84,ITCPTC,-5.62,-3.96,,,1:1,CF,2500,16,_,0,110,100,5,MoOx,,5,ZnO,,,1.15E-04,2.54E-04,0.91,15.7,50.9,7.26
306,160,link,10.1039/C8TA12224E,PBDS-TZ,1.91,37.3,,-5.41,-3.46,,1.95,IT-4F,-5.66,-4.14,,,1:1,CB,1000,16,DIO,0.25,,90,20,MoOx,,7,ZnO,,,5.01E-04,2.71E-04,0.804,20.05,73.1,12.01
307,161,link,10.1002/solr.201800332,J71,,,,,,,,BTA701,-5.27,-2.83,,2.1,1:1,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,1.69E-07,2.53E-08,1.32,0.21,25,0.07
308,161,link,10.1002/solr.201800332,J71,,,,,,,,BTA3,-5.49,-3.61,,1.76,1:1,CF,,,_,0,,150,,PEDOT:PSS,,,Ca,,20,4.64E-04,8.23E-04,1.2,10.39,69,8.60
309,161,link,10.1002/solr.201800332,J71,,,,,,,,BTA703,-5.5,-3.9,,1.5,1:0.5,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,6.15E-07,1.06E-07,0.85,3.56,40,1.21
310,162,link,10.1002/chem.201900296,PTB7-Th,,,,-5.25,-3.59,,,Py-1,-5.79,-3.76,,1.95,1:1.5,CF,1500,10,_,0,100,25,0,MoOx,,10,ZnO,,20,1.02E-03,1.06E-04,0.74,12.09,65,5.88
311,162,link,10.1002/chem.201900296,PTB7-Th,,,,-5.25,-3.59,,,Py-2,-5.83,-3.78,,1.97,1:1,CF,1500,10,_,0,100,25,0,MoOx,,10,ZnO,,20,9.00E-04,1.90E-05,0.75,9.67,47,3.47
312,163,link,10.1021/acs.chemmater.8b04265,PBB-T,2.52,107,,-5.4,-3.3,,2.1,ITIC-F,-5.69,-4.14,,1.55,1:1.2,CB,,15.4,_,0,100,150,,PEDOT:PSS,,30,PDINO,,,1.93E-04,1.74E-04,0.91,20.9,70,13.30
313,164,link,10.1039/C8QM00610E,PFBDB-T,2.6,26,,-5.47,-3.46,,1.77,C8-ITIC,-5.63,-3.91,,1.55,1:1.25,CB,2000,20,_,0,,25,0,MoOx,,10,ZnO,,,,,0.93,19.59,69,12.50
314,165,link,10.1039/C8TC05318A,P_TBTT-BTT,,,,-5.15,-3.58,,1.57,ICz-Rd2,-5.59,-3.88,,1.71,1:1,CF,2500,15,_,0,90,40,10,PEDOT:PSS,,,PFN,,,,,1.04,14.04,54,7.88
315,165,link,10.1039/C8TC05318A,P_TBTT-BTT,,,,-5.15,-3.58,,1.57,ICz-RdCN2,-5.58,-3.98,,1.61,1:1,CF,2500,15,_,0,90,40,10,PEDOT:PSS,,,PFN,,,,,1.01,15.58,62,9.76
316,166,link,10.1039/C8TA10662B,PBZ,1.86,19.9,39,-5.18,-3.22,,1.94,IT-4F,-5.69,-4.07,,1.5,1:1,Toluene,,20,PN,1,,25,0,MoOx,,10,ZnO,,30,1.20E-04,1.20E-05,0.6,17,63.2,6.40
317,166,link,10.1039/C8TA10662B,PBZ-Cl,2.1,16.2,34,-5.39,-3.41,,1.94,IT-4F,-5.69,-4.07,,1.5,1:1,Toluene,,20,PN,1,,25,0,MoOx,,10,ZnO,,30,1.91E-04,1.16E-04,0.8,17.7,68.3,9.70
318,166,link,10.1039/C8TA10662B,PBZ-ClSi,1.81,23.8,43,-5.56,-3.5,,1.94,IT-4F,-5.69,-4.07,,1.5,1:1,Toluene,,20,PN,1,100,25,0,MoOx,,10,ZnO,,30,2.57E-04,2.11E-04,0.93,19.2,71.5,12.80
319,167,link,10.1021/acsami.8b16628,PT1,2,16.2,32.5,-5.46,-3.59,,1.87,ITIC,-5.6,-4.05,,,1:1.5,CB,2000,20,_,0,100,25,0,MoOx,,10,ZnO,,,2.18E-06,3.48E-06,0.95,5.77,39,2.13
320,167,link,10.1021/acsami.8b16628,PT2,2.5,66.4,169.5,-5.35,-3.58,,1.77,ITIC,-5.6,-4.05,,,1:1.5,CB,2000,20,_,0,100,25,0,MoOx,,10,ZnO,,,1.17E-05,3.43E-06,0.84,16.33,64,9.00
321,167,link,10.1021/acsami.8b16628,PT3,2.3,66.6,153.2,-5.37,-3.54,,1.83,ITIC,-5.6,-4.05,,,1:1.5,CB,2000,20,_,0,100,25,0,MoOx,,10,ZnO,,,2.83E-05,4.35E-06,0.88,15.52,68,9.21
322,168,link,10.1039/C8QM00609A,PBDB-T,,,,-5.33,-3.53,,,DF-TCIC,-5.37,-3.76,,1.66,1:1.2,CF,3500,15,CN,0.5,100,140,30,MoOx,,8,PFN,,,8.91E-05,7.12E-06,0.86,16.39,58,8.23
323,168,link,10.1039/C8QM00609A,PBDB-T,,,,-5.33,-3.53,,,HF-TCIC,-5.43,-3.83,,1.44,1:1.2,CF,3500,15,CN,0.5,100,120,30,MoOx,,8,PFN,,,8.33E-05,1.53E-05,0.76,20.04,65,9.86
324,169,link,10.1039/C8TA11059J,BO2FC8,2.3,31.5,71.2,-5.5,-3.6,,1.77,m-ITIC-OR-4Cl,-5.78,-4.05,,1.52,1:1.5,CB,,15,_,0,100,150,10,MoOx,,10,ZnO,,40,3.00E-03,2.50E-03,0.83,20.2,63.3,11.00
325,169,link,10.1039/C8TA11059J,BO2FEH,2.1,25.2,53.6,-5.59,-3.59,,1.8,m-ITIC-OR-4Cl,-5.78,-4.05,,1.52,1:1.5,CB,,15,_,0,100,150,10,MoOx,,10,ZnO,,40,2.70E-03,1.80E-03,0.88,14.4,48.5,6.40
326,170,link,10.1039/C8TA10882J,PTB-EDOT,2.2,28.7,,-5.33,-3.63,,1.57,ITIC-Th,-5.66,-3.93,,,1:1.5,MeTHF,2000,16,_,0,100,100,5,MoOx,,10,ZnO,,30,1.25E-04,2.43E-04,0.84,15.37,66.5,8.59
327,170,link,10.1039/C8TA10882J,PTB-EDOTS,2.4,31.5,,-5.38,-3.69,,1.55,ITIC-Th,-5.66,-3.93,,,1:1.5,MeTHF,2000,16,_,0,100,100,5,MoOx,,10,ZnO,,30,2.35E-04,3.56E-04,0.88,16.25,71.2,10.18
328,171,link,10.1039/C8TA11006A,POPB,2.5,22.9,51.7,-5.38,-3.57,,1.81,IT-4F,-5.69,-4.07,,,1:1.5,CB,,20,DIO,0.5,,25,0,MoOx,,10,ZnO,,,3.15E-04,1.86E-04,0.72,16.8,51.2,6.20
329,171,link,10.1039/C8TA11006A,PFOPB,1.96,28.5,54.2,-5.5,-3.64,,1.86,IT-4F,-5.69,-4.07,,,1:1.5,CB,,20,DIO,0.5,,25,0,MoOx,,10,ZnO,,,4.43E-04,3.46E-04,0.89,20.4,64.5,11.70
330,172,link,10.1039/C8NJ04896G,P3HT,,,,-5,-3.1,,,BIBT-NI,-5.62,-3.65,,2.04,1:1.2,o-DCB,,28,_,0,90,110,,MoOx,,10,ZnO,,40,4.19E-04,3.34E-06,0.77,6.14,44.2,2.10
331,173,link,10.1002/marc.201800906,PBDT-F-2TC,2.6,67.5,176.7,-5.55,-3.58,,1.97,IT-4F,-5.68,-4.13,,,1:1,CB,,,_,0,100,110,10,PEDOT:PSS,,,PFN-Br,,,3.93E-04,5.96E-04,0.91,18.9,62.51,10.75
332,173,link,10.1002/marc.201800906,PBDT-SF-2TC,2.5,37.8,97.1,-5.57,-3.59,,1.98,IT-4F,-5.68,-4.13,,,1:1,CB,,,_,0,100,110,10,PEDOT:PSS,,,PFN-Br,,,4.06E-04,5.27E-04,0.93,20.73,57.45,11.07
333,174,link,10.1039/C8TA11004B,PDBT-F,1.52,,93,-5.39,-3.57,,1.81,IT-M,-5.51,-3.91,,,1:1,CF,2400,,DIO,0.5,,100,10,PEDOT:PSS,,,PFN-Br,,,,,0.97,17.02,63.71,10.52
334,174,link,10.1039/C8TA11004B,PDBT-F,1.52,,93,-5.39,-3.57,,1.81,IDIC,-5.69,-3.91,,,1:1,CF,2400,,DIO,0.25,,100,10,PEDOT:PSS,,,PFN-Br,,,,,0.87,17.65,71.5,11.02
335,175,link,10.1039/C9TA00114J,PBDS-T,,,,-5.35,-3.67,,1.82,ITIC,-5.5,-3.89,,,1.2:1,CB,,20,DIO,0.5,100,25,0,MoOx,,7,ZnO,,,1.30E-04,3.60E-04,0.98,18.23,60,10.72
336,175,link,10.1039/C9TA00114J,PBDS-T,,,,-5.35,-3.67,,1.82,ITIC-F,-5.6,-4.01,,1.55,1:1,CB,,20,DIO,0.5,150,25,0,MoOx,,7,ZnO,,,8.60E-04,7.50E-04,0.9,18.64,66.7,11.19
337,175,link,10.1039/C9TA00114J,PBDS-T,,,,-5.35,-3.67,,1.82,ITIC-Th1,-5.7,-4.12,,1.53,1:1,CB,,20,DIO,0.5,150,25,0,MoOx,,7,ZnO,,,8.90E-03,9.80E-03,0.88,19.55,70,12.04
338,176,link,10.1021/acs.chemmater.8b05327,J71,,,,-5.4,-3.24,,,IT-DM,-5.58,-3.82,,1.63,1:1,CF,2000,16,_,0,,100,5,PEDOT:PSS,,40,ZrAcAc,,,8.07E-04,4.13E-04,1.015,16.74,70.9,12.05
339,176,link,10.1021/acs.chemmater.8b05327,J71,,,,-5.4,-3.24,,,ITCF,-5.59,-3.95,,1.57,1:1,CF,2000,16,_,0,,100,5,PEDOT:PSS,,40,ZrAcAc,,,8.38E-04,5.32E-04,0.91,18.48,78.8,13.25
340,176,link,10.1021/acs.chemmater.8b05327,J71,,,,-5.4,-3.24,,,IT-4F,-5.63,-4.06,,1.54,1:1,CF,2000,16,_,0,,100,5,PEDOT:PSS,,40,ZrAcAc,,,8.81E-04,4.89E-04,0.803,19.58,74.2,11.66
341,177,link,10.1039/C8TA07544A,PTBFeh-BDD,1.63,62.7,,-5.26,-3.46,,1.8,ITIC,-5.56,-3.92,,,,,,,_,0,,25,0,PEDOT:PSS,,,,,,2.21E-04,2.86E-04,0.893,17.76,70.16,11.13
342,177,link,10.1039/C8TA07544A,PTBFSdo-BDD,1.91,38.5,,-5.31,-3.56,,1.75,ITIC,-5.56,-3.92,,,,,,,_,0,,25,0,PEDOT:PSS,,,,,,1.08E-04,2.37E-04,0.928,17.24,66.1,10.57
343,177,link,10.1039/C8TA07544A,PTBFSeh-BDD,1.58,52.3,,-5.32,-3.57,,1.75,ITIC,-5.56,-3.92,,,,,,,_,0,,25,0,PEDOT:PSS,,,,,,9.50E-05,2.63E-04,0.935,17.06,64.08,10.23
344,178,link,10.1021/acs.macromol.8b02360,2TC-TT-BDTFT,2,126,,-5.45,-3.5,,1.95,m-ITIC,-5.52,-3.83,,,1:1,o-DCB,,16,_,0,100,120,5,PEDOT:PSS,,30,PDINO,,,5.40E-04,3.80E-04,1.06,15.25,59.31,9.65
345,178,link,10.1021/acs.macromol.8b02360,2T-TTC-BDTFT,1.9,113,,-5.41,-3.53,,1.88,m-ITIC,-5.52,-3.83,,,1:1,o-DCB,,16,_,0,125,120,5,PEDOT:PSS,,30,PDINO,,,7.70E-04,5.20E-04,0.97,16.57,69.37,11.15
346,179,link,10.1039/C8TA11484F,PTB7-Th,,,,-5.3,-3.33,,,ACS8,-5.54,-4.05,,1.3,1:2,Toluene,,20,_,0,115,25,0,MoOx,,8,PFN,,30,1.47E-04,1.30E-04,0.75,22.5,58.8,9.90
347,180,link,10.1002/solr.201800291,PB24-3TDC,1.68,87.7,,-5.36,-3.58,,1.91,ITIC-Th,-5.66,-3.93,,,1:1.5,CB,,,DIO,0.3,,25,0,PEDOT:PSS,,,C60-bissalt,,,,,0.902,16.8,68,10.30
348,180,link,10.1002/solr.201800291,PB68-3TDC,1.94,35,,-5.41,-3.57,,1.92,ITIC-Th,-5.66,-3.93,,,1:1.5,CB,,,DIO,0.3,,25,0,PEDOT:PSS,,,C60-bissalt,,,,,0.994,12.2,65,7.88
349,181,link,10.1016/j.dyepig.2018.11.027,PBDB-T,,,,-5.33,-2.92,,,IDNO-IDT,-5.45,-3.65,,1.95,1:1,CB,,20,_,0,,140,10,PEDOT:PSS,,,Ca,,,3.18E-04,2.35E-07,1.03,2.65,34.47,1.10
350,181,link,10.1016/j.dyepig.2018.11.027,PBDB-T,,,,-5.33,-2.92,,,IM1-IDT,-5.46,-4.02,,1.48,1:1.5,CB,,20,_,0,,140,10,PEDOT:PSS,,,Ca,,,6.55E-05,8.37E-07,0.55,5.07,47.41,1.62
351,181,link,10.1016/j.dyepig.2018.11.027,PBDB-T,,,,-5.33,-2.92,,,ITAN-IDT,-5.42,-3.69,,1.68,1.5:1,CB,,20,_,0,,140,10,PEDOT:PSS,,,Ca,,,7.33E-05,1.00E-06,1.18,3.71,39.19,2.00
352,182,link,10.1007/s11426-018-9408-7,PBDT-3TCO,2.1,18.9,,-5.5,-3.24,,1.85,IT-4F,,,,,1:1,CB,,10,DIO,0.5,95,25,0,PEDOT:PSS,,,PFN-Br,,,1.89E-04,1.16E-04,0.88,20.96,62.7,11.52
353,182,link,10.1007/s11426-018-9408-7,PBDT-3T,1.7,21.9,,-5.48,-3.21,,1.99,IT-4F,,,,,1:1.5,CB,,10,DIO,0.5,95,25,0,PEDOT:PSS,,,PFN-Br,,,9.50E-07,2.63E-06,0.85,3.89,30.43,1.00
354,183,link,10.1039/C7TA10957A,PTB7-Th,,,,-5.22,-3.64,,,NFDTS,-5.36,-3.92,,1.41,1:1.2,CF,,20,_,0,100,25,0,PEDOT:PSS,,30,PFN-Br,,5,7.21E-05,3.94E-06,0.67,18.77,48.9,6.15
355,183,link,10.1039/C7TA10957A,PTB7-Th,,,,-5.22,-3.64,,,NFDTSB,-5.56,-3.85,,1.4,1:1,CF,,20,_,0,100,25,0,PEDOT:PSS,,30,PFN-Br,,5,1.58E-04,9.30E-05,0.75,20.14,63.6,9.60
356,184,link,10.1002/aenm.201801387,PBTIBDTT,,,,-5.47,-3.6,,1.87,ITIC-F,-5.64,-4.03,,1.61,1:1,CB,1700,16,_,0,120,25,0,PEDOT:PSS,,30,ZnO,,,1.73E-04,2.08E-04,0.921,16.4,74.1,11.19
357,185,link,10.3389/fchem.2018.00427,PBDB-T,,,,-5.33,-2.92,,,DTNIF,-5.82,-3.92,,1.63,1:1,CB,,18,_,0,,25,0,MoOx,,10,ZnO,,30,1.87E-05,1.79E-05,0.9,13.26,72.77,8.73
358,185,link,10.3389/fchem.2018.00427,PBDB-T,,,,-5.33,-2.92,,,DTNSF,-5.52,-4,,1.47,1:1,CB,,18,_,0,,25,0,MoOx,,10,ZnO,,30,1.35E-05,6.70E-06,0.92,14.49,54.62,7.15
359,186,link,10.1039/C8TC04883E,PBTIBDTT,2.06,44,,-5.47,-3.6,,1.87,Si4TIC-F,-5.58,-4.21,,1.37,1:1.5,CB,2000,12.5,CN,0.5,130,25,0,PEDOT:PSS,,30,PDIN,,,2.00E-04,1.23E-04,0.78,18.84,69.4,10.20
360,187,link,10.1002/cjoc.201800015,PDCBT-2F,,,,-5.6,-3.67,,1.93,IT-4F,-5.67,-4.16,,1.54,1:1,CF,,16,DIO,0.5,95,25,0,MoOx,,10,ZnO,,,1.00E-04,1.20E-04,0.92,17.8,69,11.60
361,188,link,10.1021/acsami.8b04541,PTB7-Th,,,,,,,,IDT-FBTR,-5.47,-3.65,,1.67,1.5:1,o-DCB,,20,_,0,,25,0,MoOx,,3,ZnO,,30,3.10E-04,6.80E-05,1.02,12.95,52.97,7.01
362,189,link,10.1039/C8TA05207G,PBT-F,1.83,14.7,,-5.39,-3.65,,1.77,IT-4F,-5.66,-4.14,,,1:1,,,,NMP,1,95,25,0,PEDOT:PSS,,,PFN-Br,,,1.29E-04,7.67E-05,0.78,21.57,54.5,9.14
363,189,link,10.1039/C8TA05207G,PBT-SF,3.02,12.5,,-5.46,-3.58,,1.76,IT-4F,-5.66,-4.14,,,1:1.5,,,,NMP,1,80,25,0,PEDOT:PSS,,,PFN-Br,,,2.36E-04,1.18E-04,0.8,21.53,60.6,10.51
364,190,link,10.1002/solr.201800129,PBT1-C,2.1,38.3,,-5.46,-3.4,,1.83,ITCPTC,-5.62,-3.96,,,1:1,CF,2000,16,_,0,110,100,5,PEDOT:PSS,,,ZrAcAc,,,1.40E-03,2.30E-03,0.94,17.2,79,12.80
365,191,link,10.3389/fchem.2018.00303,PTZPF,2.2,13.2,29.04,-5.41,-3.42,,2,BT-IC,-5.55,-3.88,,1.43,1:1,CB,,,CN,0.5,100,120,10,PEDOT:PSS,,30,PFN-Br,,5,,,0.93,12.27,49,5.63
366,191,link,10.3389/fchem.2018.00303,PTZPF,2.2,13.2,29.04,-5.41,-3.42,,2,BT-F,-5.57,-3.97,,1.42,1:1,CB,,,CN,0.5,100,120,10,PEDOT:PSS,,30,PFN-Br,,5,,,0.88,16.64,49,7.27
367,191,link,10.3389/fchem.2018.00303,PTZPF,2.2,13.2,29.04,-5.41,-3.42,,2,BT-2F,-5.6,-4,,1.41,1:1,CB,,,CN,0.5,100,120,10,PEDOT:PSS,,30,PFN-Br,,5,,,0.84,19.29,53,8.54
368,192,link,10.1021/acsami.8b10312,P3HT,,,,-5,-3.1,,,BT3,-5.53,-3.79,,1.59,1:0.3,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,4.79E-07,1.25E-06,0.72,5.81,61,2.55
369,192,link,10.1021/acsami.8b10312,P3HT,,,,-5,-3.1,,,BTA3,-5.34,-3.28,,1.76,1:0.5,CF,,,_,0,,130,,PEDOT:PSS,,,Ca,,20,1.60E-06,1.75E-04,0.9,9.64,65,5.64
370,193,link,10.1021/acsami.8b00216,P3HT,,,,-5,-3.1,,,Qx1,-5.42,-3.6,,1.74,1:0.6,o-DCB,,,CN,1,,100,10,PEDOT:PSS,,,Ca,,20,5.20E-07,7.50E-07,1,6.02,67,4.03
371,193,link,10.1021/acsami.8b00216,P3HT,,,,-5,-3.1,,,Qx1b,-5.35,-3.66,,1.68,0.8:1,o-DCB,,,CN,0.5,,100,10,PEDOT:PSS,,,Ca,,20,3.30E-05,1.10E-05,0.95,7.34,69,4.81
372,194,link,10.1039/C7TA07501D,PTZ1,,,,-5.31,-3.34,,1.97,ITIC,,,,,1:1.5,,,,_,0,90,110,10,MoOx,,10,ZnO,,30,9.66E-05,5.20E-05,1,14.04,65.5,9.25
373,195,correct link,10.1002/cjoc.201700792,P3HT,,,,-5,-3.1,,,BTA21,-5.76,-3.56,,2.19,1:1,CF,,,_,0,,100,,PEDOT:PSS,,,Ca,,20,,,1.07,5.35,43,2.46
374,195,link,10.1002/cjoc.201700792,P3HT,,,,-5,-3.1,,,BTA23,-5.7,-3.57,,2.15,1:1,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,1.17E-07,1.02E-06,0.9,3.98,52,1.86
375,195,link,10.1002/cjoc.201700792,P3HT,,,,-5,-3.1,,,BTA27,-6.08,-3.81,,2.21,1:1,CF,,,_,0,,100,,PEDOT:PSS,,,Ca,,20,3.00E-04,2.16E-07,0.6,2.89,36,0.62
376,196,link,10.1039/C7TC04750A,PBDTTz-BP,2.31,35,80.85,-5.25,-3.49,,1.93,ITIC,-5.48,-3.83,,,1:1,CB,,19.5,_,0,100,25,0,PEDOT:PSS,,30,Ca,,10,1.32E-04,3.80E-05,0.81,17.7,56,8.03
377,196,link,10.1039/C7TC04750A,PBDTTz-N,3.53,27,95.31,-5.23,-3.52,,1.95,ITIC,-5.48,-3.83,,,1:1,CB,,19.5,_,0,100,25,0,PEDOT:PSS,,30,Ca,,10,1.25E-05,3.41E-04,0.75,18,49,6.61
378,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,,,F-H,-5.42,-3.79,,1.63,1:1.2,,,,,,,,,PEDOT:PSS,,40,PDINO,,,3.37E-05,2.40E-05,0.94,15.02,67,9.59
379,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,,,F-F,-5.72,-4.13,,1.59,1:1.2,CB,,,DIO,0.3,150,25,0,PEDOT:PSS,,40,PDINO,,,3.39E-04,1.03E-04,0.88,17.36,71,10.85
380,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,,,F-Cl,-5.62,-4.04,,1.58,1:1,CB,,,DIO,0.1,150,25,0,PEDOT:PSS,,40,PDINO,,,3.63E-04,1.15E-04,0.87,17.61,75,11.47
381,197,link,10.1002/aenm.201702870,PBDB-T,,,,-5.18,-3.38,,,F-Br,-5.62,-4.06,,1.56,1:1,CB,,,DIO,0.3,150,25,0,PEDOT:PSS,,40,PDINO,,,3.71E-04,1.48E-04,0.87,18.22,76,12.05
382,198,link,10.1039/C8QM00318A,PBDB-T,,,,-5.33,-3.53,,,DF-PCNC,-5.42,-3.81,,1.54,1:1.2,CF,2000,20,CN,1.2,100,100,10,MoOx,,10,ZnO,,,6.51E-04,1.97E-04,0.86,18.16,72.62,11.63
383,198,link,10.1039/C8QM00318A,PBDB-T,,,,-5.33,-3.53,,,DF-PCIC,-5.49,-3.77,,1.59,1:1.2,CF,,20,CN,0.5,100,130,10,MoOx,,10,ZnO,,,1.28E-04,2.60E-05,0.91,15.66,72.07,10.14
384,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,,1.58,ITCC,-5.62,-3.92,,,1:1.2,CF,,15,DIO,0.1,110,80,10,MoOx,-5.4,10,ZnO/PFN,-4.4,30,4.37E-04,3.91E-04,0.95,15.13,72,10.42
385,199,correct link,10.1002/adma.201404317,PTB7-Th,,,,-5.22,-3.64,,1.58,ITIC,-5.48,-3.83,,,1:1.3,CF,1000,25,_,0,100,25,0,PEDOT:PSS,,30,PDIN,,14,4.30E-05,1.10E-04,0.81,14.21,59,6.80
386,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,,1.58,IDIC,-5.69,-3.91,,,1:1,CF,3000,12,_,0,100,25,0,MoOx,,5,ZnO,,,2.10E-05,1.70E-04,0.81,10.9,56,5.24
387,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,,1.58,IEICO-4F,-5.44,-4.19,,1.24,1:1.5,CB,,25,_,0,100,100,10,PEDOT:PSS,,10,PFN-Br,,5,,,0.74,22.8,59,10.00
388,199,link,10.1039/C7TA10391C,PTB7-Th,,,,-5.22,-3.64,,1.58,SFBRCN,-5.93,-3.86,,2.05,1:1.2,CB,2000,22,DIO,0.75,100,25,0,MoOx,,10,ZnO,,30,1.50E-04,2.20E-04,0.9,17.25,65,10.12
389,200,link,10.1038/s41467-018-03207-x,PTQ10,2.1,39.1,82.11,-5.54,-2.98,,1.92,IDIC,-5.74,-3.9,,,1:1,CF,3500,,_,0,130,140,5,PEDOT:PSS,-5.1,,PDINO,-3.63,10,5.04E-04,6.72E-04,0.969,17.81,73.6,12.70
390,201,link,10.1002/adfm.201802895,PBDB-T,1.7109375,128,219,-5.33,-3.29,,,IDTIC,-5.85,-3.89,,1.68,1:1,CB,,20,_,0,150,25,0,MoOx,,10,ZnO/PFN-Br,,50,2.56E-04,5.51E-05,0.84,12.7,56.3,5.67
