Donor,SMILES,SMILES w/o R_group replacement,SMILES w/o R_group,Big_SMILES,SELFIES
PBDTS-Se-TAZ,CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)[se]3)c3cc(C)sc23)[se]1,,,{CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc([$])s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)[se]3)c3cc([$])sc23)[se]1},[C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][S][C][=C][C][=C][Branch2][Branch2][P][C][=C][C][=C][Branch2][Branch1][=Branch1][C][=C][C][=C][Branch2][Ring2][O][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=N][N][Branch1][=Branch2][C][C][C][C][C][C][C][C][N][=C][Ring2][Ring1][=Branch2][Ring1][=N][S][Ring2][Ring1][=C][S][C][Ring2][Ring2][Ring1][=C][Branch2][Ring1][#C][C][=C][C][=C][Branch2][Ring1][Ring2][S][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Se][Ring2][Ring1][=Branch1][C][C][=C][Branch1][C][C][S][C][Ring2][Branch1][P][=Ring1][=Branch1][Se][Ring2][=Branch1][=Branch1]
PTFBDT-BZS,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,,,{CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc([$])cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc([$])s1},[C][C][C][C][C][C][C][C][C][C][C][C][O][C][C][Branch1][=C][O][C][C][C][C][C][C][C][C][C][C][C][C][=C][Branch2][#Branch1][=N][C][=C][C][=C][Branch2][#Branch1][C][C][=C][C][=C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][=C][Ring2][Ring2][#Branch2][S][Ring2][Ring2][=N][S][Ring2][Branch1][C][C][=N][S][N][=C][Ring1][Branch1][C][=Ring2][=Branch1][Branch2][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1]
PBDTS-TzBI,CCCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c3nn(CCCCCCCC)nc3c2-c2ccc(C)s2)C1=O,,,{CCCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc([$])cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c3nn(CCCCCCCC)nc3c2-c2ccc([$])s2)C1=O},[C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][=Branch2][=Branch2][Ring2][=C][Branch2][=Branch1][P][C][=C][C][=C][Branch2][=Branch1][=Branch1][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][=C][Ring2][Ring2][=Branch1][S][Ring2][Ring2][=Branch2][S][Ring2][Ring2][=C][C][=N][N][Branch1][=Branch2][C][C][C][C][C][C][C][C][N][=C][Ring1][=N][C][=Ring2][Branch1][#C][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][Ring2][=Branch1][=Branch2][=O]
PBTA-TF,CCCCCCCCCC(CCCCCC)n1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(C(CC)CCCCCC)s6)c6sc(C)cc6c(-c6cc(F)c(C(CC)CCCCCC)s6)c5s4)s3)c2n1,,,{CCCCCCCCCC(CCCCCC)n1nc2c(-c3ccc([$])s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(C(CC)CCCCCC)s6)c6sc([$])cc6c(-c6cc(F)c(C(CC)CCCCCC)s6)c5s4)s3)c2n1},[C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][N][N][=C][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][#Branch1][#Branch1][C][=C][C][=C][Branch2][=Branch1][N][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][C][Branch1][Ring1][C][C][C][C][C][C][C][C][S][Ring1][#C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch2][C][=C][C][Branch1][C][F][=C][Branch1][N][C][Branch1][Ring1][C][C][C][C][C][C][C][C][S][Ring1][#C][=C][Ring2][Ring2][Branch2][S][Ring2][Ring2][O][S][Ring2][Ring2][S][C][Ring2][Branch1][=C][=N][Ring2][Branch1][P]
P2F-Ehp,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc(C)s2)C1=O,,,{CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c6sc([$])cc6c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc([$])s2)C1=O},[C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][=Branch2][#Branch2][Ring1][=C][Branch2][#Branch1][=N][C][=C][C][=C][Branch2][#Branch1][C][C][=C][C][=C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][O][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][C][F][=C][Ring1][S][=C][Ring2][Ring2][#Branch2][S][Ring2][Ring2][=N][S][Ring2][Branch1][C][C][=N][N][Branch1][N][C][C][C][Branch1][Ring1][C][C][C][C][C][C][N][=C][Ring1][=C][C][=Ring2][=Branch1][Ring2][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][Ring2][=Branch1][=C][=O]
P_TBTT-BTT,CCCCCCCCc1ccc(-c2sc(-c3ccc(CCCCCCCC)s3)c3c4cc(-c5ccc(-c6ccc(-c7ccc(C)s7)c7nsnc67)s5)sc4c4sc(C)cc4c23)s1,,,{CCCCCCCCc1ccc(-c2sc(-c3ccc(CCCCCCCC)s3)c3c4cc(-c5ccc(-c6ccc(-c7ccc([$])s7)c7nsnc67)s5)sc4c4sc([$])cc4c23)s1},[C][C][C][C][C][C][C][C][C][=C][C][=C][Branch2][#Branch1][=Branch2][C][S][C][Branch2][Ring1][C][C][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][C][C][S][Ring1][=N][=C][C][C][=C][Branch2][Ring2][Branch1][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=N][S][N][=C][Ring1][#C][Ring1][Branch1][S][Ring2][Ring1][Ring2][S][C][=Ring2][Ring1][=Branch2][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][=Ring2][Ring2][P][Ring2][Ring1][P][S][Ring2][Branch1][=Branch1]
P_dFBT-DTS,CCCCCCCC[Si]1(CCCCCCCC)c2cc(-c3cc(F)c(C)c4nn(CCCCCC)nc34)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CCCCCCCC)CCCCCCCC)c4nn(CCCCCC)nc34)cc21,,,{CCCCCCCC[Si]1(CCCCCCCC)c2cc(-c3cc(F)c([$])c4nn(CCCCCC)nc34)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc([$])cc4[Si]5(CCCCCCCC)CCCCCCCC)c4nn(CCCCCC)nc34)cc21},[C][C][C][C][C][C][C][C][Si][Branch1][=Branch2][C][C][C][C][C][C][C][C][C][C][=C][Branch2][Ring1][N][C][=C][C][Branch1][C][F][=C][Branch1][C][C][C][=N][N][Branch1][#Branch1][C][C][C][C][C][C][N][=C][Ring1][P][Ring1][O][S][C][=Ring2][Ring1][=Branch1][C][S][C][Branch2][=Branch1][Branch1][C][=C][C][Branch1][C][F][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][Si][Ring1][#Branch2][Branch1][=Branch2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=N][N][Branch1][#Branch1][C][C][C][C][C][C][N][=C][Ring2][Ring2][N][Ring1][O][=C][C][=Ring2][Ring2][P][Ring2][=Branch1][S]
P1_BDT-TBT,CCCCCCCCCCCCSOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)sc2c(OSCCCCCCCCCCCC)c2cc(C)sc12,,,{CCCCCCCCCCCCSOc1c2cc(-c3ccc(-c4ccc(-c5ccc([$])s5)c5nsnc45)s3)sc2c(OSCCCCCCCCCCCC)c2cc([$])sc12},[C][C][C][C][C][C][C][C][C][C][C][C][S][O][C][=C][C][=C][Branch2][Ring2][Branch1][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=N][S][N][=C][Ring1][#C][Ring1][Branch1][S][Ring2][Ring1][Ring2][S][C][Ring2][Ring1][=Branch2][=C][Branch1][#C][O][S][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=C][Branch1][C][C][S][C][Ring2][Ring2][#C][=Ring1][=Branch1]
P1_PDTB-EF-T,CCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(C)c6nsnc56)s4)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCC,,,{CCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c([$])c6nsnc56)s4)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3cc([$])sc23)sc1CCCCCCC},[C][C][C][C][C][C][C][C][C][C][=C][Branch2][#Branch1][#Branch2][C][=C][C][=C][Branch2][Ring1][P][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][C][C][C][=N][S][N][=C][Ring1][N][Ring1][Branch1][S][Ring1][P][S][C][Ring2][Ring1][=Branch1][=C][Branch2][Ring1][=N][C][=C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][C][C][S][Ring2][Ring1][Branch1][C][C][=C][Branch1][C][C][S][C][Ring2][Branch1][Ring1][=Ring1][=Branch1][S][C][=Ring2][Branch1][Branch2][C][C][C][C][C][C][C][C]
PTZ1,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4cc(CC(CC)CCCC)c(-c5nc6c(s5)[N]C(c5cc(CC(CC)CCCC)c(C)s5)=[S]6)s4)sc3c(-c3ccc(CC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1,,,{CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4cc(CC(CC)CCCC)c(-c5nc6c(s5)[N]C(c5cc(CC(CC)CCCC)c([$])s5)=[S]6)s4)sc3c(-c3ccc(CC(CCCC)CCCCCC)s3)c3cc([$])sc23)s1},[C][C][C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][=C][C][=C][Branch2][=Branch2][Ring2][C][=C][C][=C][Branch2][Branch1][S][C][=C][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Branch2][Ring2][=Branch2][C][=N][C][=C][Branch1][Ring2][S][Ring1][Branch1][NH0][C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Branch1][C][C][S][Ring1][=C][=SH0][Ring2][Ring1][Ring2][S][Ring2][Ring2][Ring1][S][C][Ring2][Ring2][Branch2][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][S][Ring1][P][C][C][=C][Branch1][C][C][S][C][Ring2][Branch1][P][=Ring1][=Branch1][S][Ring2][=Branch1][=Branch1]
PBDT-ODZ,Cc1cc2c(-c3ccc([Sc])s3)c3sc(-c4sc(-c5nnc(-c6cc([Ti])c(C)s6)o5)cc4[Ti])cc3c(-c3ccc([Sc])s3)c2s1,[R1]c1sc(c2c3cc(C)sc3c(c4sc([R1])cc4)c5cc(c6c([R2])cc(c7oc(c8cc([R2])c(C)s8)nn7)s6)sc52)cc1, ,{[$]c1cc2c(-c3ccc([Sc])s3)c3sc(-c4sc(-c5nnc(-c6cc([Ti])c([$])s6)o5)cc4[Ti])cc3c(-c3ccc([Sc])s3)c2s1},[C][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][C][S][C][Branch2][Ring2][C][C][S][C][Branch2][Ring1][#Branch1][C][=N][N][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][O][Ring1][N][=C][C][=Ring1][P][Ti][=C][C][=Ring2][Ring1][#Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][=C][Ring2][Ring2][#Branch1][S][Ring2][Ring2][#Branch2]
J71,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([V])s6)c6sc(C)cc6c(-c6ccc([V])s6)c5s4)s3)c3nn([Sc])nc23)s1,[R3]c9sc(c%10c%11cc(C)sc%11c(c%12sc([R3])cc%12)c%13cc(c%14ccc(c%15c%16nn([R1])nc%16c(c%17ccc(C)s%17)c(F)c%15F)s%14)sc%13%10)cc9, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([V])s6)c6sc([$])cc6c(-c6ccc([V])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
J52,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Cr])s6)c6sc(C)cc6c(-c6ccc([Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1,[R4]c%18sc(c%19c%20cc(C)sc%20c(c%21sc([R4])cc%21)c%22cc(c%23ccc(c%24c%25nn([R1])nc%25c(c%26ccc(C)s%26)c(F)c%24F)s%23)sc%22%19)cc%18, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Cr])s6)c6sc([$])cc6c(-c6ccc([Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Cr][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
J91,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6sc([Cr])c(F)c6F)c6sc(C)cc6c(-c6sc([Cr])c(F)c6F)c5s4)s3)c3nn([Sc])nc23)s1,[R4]c%27sc(c%28c%29cc(C)sc%29c(c%30sc([R4])c(F)c%30F)c%31cc(c%32ccc(c%33c%34nn([R1])nc%34c(c%35ccc(C)s%35)c(F)c%33F)s%32)sc%31%28)c(F)c%27F, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6sc([Cr])c(F)c6F)c6sc([$])cc6c(-c6sc([Cr])c(F)c6F)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][=N][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][=Branch1][Ring1][C][=C][C][=C][Branch2][Branch1][Branch2][C][=C][C][=C][Branch1][#C][C][S][C][Branch1][C][Cr][=C][Branch1][C][F][C][=Ring1][#Branch1][F][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][#C][C][S][C][Branch1][C][Cr][=C][Branch1][C][F][C][=Ring1][#Branch1][F][=C][Ring2][Ring1][#Branch2][S][Ring2][Ring1][=N][S][Ring2][Ring2][C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][=C][Ring1][=Branch1][S][Ring2][Branch1][Ring1]
J81,Cc1cc2c(-c3ccc([V])s3)c3oc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn([Sc])nc56)s4)cc3c(-c3ccc([V])s3)c2o1,[R3]c%36sc(c%37c%38cc(C)oc%38c(c%39sc([R3])cc%39)c%40cc(c%41ccc(c%42c%43nn([R1])nc%43c(c%44ccc(C)s%44)c(F)c%42F)s%41)oc%40%37)cc%36, ,{[$]c1cc2c(-c3ccc([V])s3)c3oc(-c4ccc(-c5c(F)c(F)c(-c6ccc([$])s6)c6nn([Sc])nc56)s4)cc3c(-c3ccc([V])s3)c2o1},[C][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][C][O][C][Branch2][Ring2][#C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring1][C][Ring1][=Branch1][S][Ring2][Ring1][#Branch1][=C][C][=Ring2][Ring1][N][C][Branch1][O][C][=C][C][=C][Branch1][C][V][S][Ring1][=Branch1][=C][Ring2][Ring2][N][O][Ring2][Ring2][#C]
J61,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Mn])s6)c6sc(C)cc6c(-c6ccc(S[Mn])s6)c5s4)s3)c3nn([Sc])nc23)s1,Cc%45sc%46c(c%47sc(S[R5])cc%47)c%48cc(c%49ccc(c%50c%51nn([R1])nc%51c(c%52ccc(C)s%52)c(F)c%50F)s%49)sc%48c(c%53sc(S[R5])cc%53)c%46c%45, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Mn])s6)c6sc([$])cc6c(-c6ccc(S[Mn])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Mn][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Mn][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P]
J60,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Cr])s6)c6sc(C)cc6c(-c6ccc(S[Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1,Cc%54sc%55c(c%56sc(S[R4])cc%56)c%57cc(c%58ccc(c%59c%60nn([R1])nc%60c(c%61ccc(C)s%61)c(F)c%59F)s%58)sc%57c(c%62sc(S[R4])cc%62)c%55c%54, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Cr])s6)c6sc([$])cc6c(-c6ccc(S[Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Cr][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Cr][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P]
J40,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(O[Fe])c6sc(C)cc6c(O[Fe])c5s4)s3)c3nn([Cr])nc23)s1,Cc%63sc%64c(O[R6])c%65cc(c%66ccc(c%67c%68nn([R4])nc%68c(c%69ccc(C)s%69)c(F)c%67F)s%66)sc%65c(O[R6])c%64c%63, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(O[Fe])c6sc([$])cc6c(O[Fe])c5s4)s3)c3nn([Cr])nc23)s1},[C][C][=C][C][=C][Branch2][=Branch1][Ring1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][Ring1][O][Fe][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][O][Fe][=C][Ring1][=C][S][Ring1][P][S][Ring2][Ring1][=Branch1][C][=N][N][Branch1][C][Cr][N][=C][Ring2][Ring2][C][Ring1][=Branch1][S][Ring2][Ring2][#Branch1]
J51,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc(C)cc6c(-c6ccc([Sc])s6)c5s4)s3)c3nn([Ti])nc23)s1,[R1]c%70sc(c%71c%72cc(C)sc%72c(c%73sc([R1])cc%73)c%74cc(c%75ccc(c%76c%77nn([R2])nc%77c(c%78ccc(C)s%78)c(F)c%76F)s%75)sc%74%71)cc%70, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc([$])cc6c(-c6ccc([Sc])s6)c5s4)s3)c3nn([Ti])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Ti][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
J50,Cc1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc(C)cc6c(-c6ccc([Sc])s6)c5s4)s3)c3nn([Ti])nc23)s1,[R1]c%79sc(c%80c%81cc(C)sc%81c(c%82sc([R1])cc%82)c%83cc(c%84ccc(c%85c%86nn([R2])nc%86c(c%87ccc(C)s%87)cc%85)s%84)sc%83%80)cc%79, ,{[$]c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc([$])cc6c(-c6ccc([Sc])s6)c5s4)s3)c3nn([Ti])nc23)s1},[C][C][=C][C][=C][Branch2][=Branch1][#C][C][=C][C][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Ti][N][=C][Ring2][Ring2][Branch2][Ring1][=Branch1][S][Ring2][Ring2][=N]
PSBZ,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc(C)cc6c(-c6ccc([Co])s6)c5s4)s3)c3nn([Co])nc23)s1,[R7]c%88sc(c%89c%90cc(C)sc%90c(c%91sc([R1])cc%91)c%92cc(c%93ccc(c%94c%95nn([R7])nc%95c(c%96ccc(C)s%96)c(F)c%94F)s%93)sc%92%89)cc%88, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Sc])s6)c6sc([$])cc6c(-c6ccc([Co])s6)c5s4)s3)c3nn([Co])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Sc][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Co][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Co][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
