ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI\,DonorAcceptor
955,433,8.5,8.13,20.91,0.52,0.77,5.4,4.2,1.2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,1808.42,5.3,3.5,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1
956,434,11.21,10.92,18.47,0.646,0.94,5.3,3.71,1.59,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(Cl)cccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(Cl)cccc5C4=C(C#N)C#N)sc23)cc1,1496.84,5.5,3.6,1.9,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl,44.9,25.5,1.76 \,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(Cl)cccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(Cl)cccc5C4=C(C#N)C#N)sc23)cc1
957,434,12.23,11.98,18.91,0.735,0.88,5.29,3.77,1.52,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,1496.84,5.5,3.6,1.9,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl,44.9,25.5,1.76 \,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1
958,435,7.59,7.41,17.2,0.562,0.8,5.9,3.86,2.04,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(C#Cc7cc(C#Cc8cc9c%10c(ccc%11c%12ccc%13c%14c(ccc(c8c%10%11)c%14%12)C(=O)N(C(CCCCCC)CCCCCC)C%13=O)C(=O)N(C(CCCCCC)CCCCCC)C9=O)c8ccc9c(C#Cc%10cc%11c%12c(ccc%13c%14ccc%15c%16c(ccc(c%10c%12%13)c%16%14)C(=O)N(C(CCCCCC)CCCCCC)C%15=O)C(=O)N(C(CCCCCC)CCCCCC)C%11=O)cc(C#Cc%10cc%11c%12c(ccc%13c%14ccc%15c%16c(ccc(c%10c%12%13)c%16%14)C(=O)N(C(CCCCCC)CCCCCC)C%15=O)C(=O)N(C(CCCCCC)CCCCCC)C%11=O)c%10ccc7c8c%109)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,3310.5,5.22,3.66,1.56,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(C#Cc7cc(C#Cc8cc9c%10c(ccc%11c%12ccc%13c%14c(ccc(c8c%10%11)c%14%12)C(=O)N(C(CCCCCC)CCCCCC)C%13=O)C(=O)N(C(CCCCCC)CCCCCC)C9=O)c8ccc9c(C#Cc%10cc%11c%12c(ccc%13c%14ccc%15c%16c(ccc(c%10c%12%13)c%16%14)C(=O)N(C(CCCCCC)CCCCCC)C%15=O)C(=O)N(C(CCCCCC)CCCCCC)C%11=O)cc(C#Cc%10cc%11c%12c(ccc%13c%14ccc%15c%16c(ccc(c%10c%12%13)c%16%14)C(=O)N(C(CCCCCC)CCCCCC)C%15=O)C(=O)N(C(CCCCCC)CCCCCC)C%11=O)c%10ccc7c8c%109)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O
959,436,8.89,8.74,14.39,0.644,0.96,5.64,3.86,1.78,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.47,3.6,1.87,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1,90.6,44.0,2.06 \,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
960,436,9.01,8.87,13.49,0.71,0.94,5.73,3.93,1.8,CCCCCCc1ccc(C2(c3ccc(CCCCCC)c(F)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)c(F)c2)(c2ccc(CCCCCC)c(F)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1F,1499.92,5.47,3.6,1.87,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1,90.6,44.0,2.06 \,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)c(F)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)c(F)c2)(c2ccc(CCCCCC)c(F)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1F
961,436,9.5,9.39,14.53,0.681,0.96,5.66,3.88,1.78,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3F)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2F)(c2ccc(CCCCCC)cc2F)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c(F)c1,1499.92,5.47,3.6,1.87,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1,90.6,44.0,2.06 \,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3F)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2F)(c2ccc(CCCCCC)cc2F)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c(F)c1
962,437,8.84,8.63,16.91,0.659,0.775,5.85,3.81,2.04,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc(-c%17cc(-c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc%21c%22c%23cc%24c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%25cc%26c%27c%28cc%29c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%30ccc%31c%32ccc%33c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%34cc(c%27c%27cc%35c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%36cc(c%22c%22cc%37c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%38ccc%39c%18c(c%19%20)c%21c%22c%39c%38%37)c%18c%23c(c%25%24)c%26c%27c%18c%35%36)c(c%32c%33%34)c%28c%31c%30%29)cc(-c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc%21c%22c%23cc%24c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%25cc%26c%27c%28cc%29c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%30ccc%31c%32ccc%33c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%34cc(c%27c%27cc%35c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%36cc(c%22c%22cc%37c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%38ccc%39c%18c(c%19%20)c%21c%22c%39c%38%37)c%18c%23c(c%25%24)c%26c%27c%18c%35%36)c(c%32c%33%34)c%28c%31c%30%29)c%17)c%17c%18ccc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc(c%13c%13cc%21c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%22cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%13c1c%22%21)c(c%18c%19%20)c%14c%17c%16%15,6987.51,5.12,3.6,1.52,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc(-c%17cc(-c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc%21c%22c%23cc%24c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%25cc%26c%27c%28cc%29c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%30ccc%31c%32ccc%33c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%34cc(c%27c%27cc%35c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%36cc(c%22c%22cc%37c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%38ccc%39c%18c(c%19%20)c%21c%22c%39c%38%37)c%18c%23c(c%25%24)c%26c%27c%18c%35%36)c(c%32c%33%34)c%28c%31c%30%29)cc(-c%18cc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc%21c%22c%23cc%24c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%25cc%26c%27c%28cc%29c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%30ccc%31c%32ccc%33c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%34cc(c%27c%27cc%35c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%36cc(c%22c%22cc%37c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%38ccc%39c%18c(c%19%20)c%21c%22c%39c%38%37)c%18c%23c(c%25%24)c%26c%27c%18c%35%36)c(c%32c%33%34)c%28c%31c%30%29)c%17)c%17c%18ccc%19c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%20cc(c%13c%13cc%21c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%22cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%13c1c%22%21)c(c%18c%19%20)c%14c%17c%16%15
963,437,7.93,7.69,16.4,0.619,0.759,5.79,3.82,1.97,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc%17c%18c(c%19cc%20c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%21cc(c%13c%13cc%22c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%23cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%13c1c%23%22)c1c%14c(c%15%16)c%17c%19c1c%21%20)c1c2cc3c(=O)n(C(CCCCCC)CCCCCC)c(=O)c4cc5c6c7cc8c(=O)n(C(CCCCCC)CCCCCC)c(=O)c9cc%10c%11c%12cc%13c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%14ccc%15c%16ccc%17c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%19cc(c%11c%11cc%20c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%21cc(c6c6cc%22c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%23cc(c1c1c%24cc%25c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%26cc%27c%28c%29cc%30c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%31cc%32c%33c%34cc%35c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%36ccc%37c%38ccc%39c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%40cc(c%33c%33cc%41c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%42cc(c%28c%28cc%43c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%44cc(c%181)c1c%24c(c%26%25)c%27c%28c1c%43%44)c1c%29c(c%31%30)c%32c%33c1c%41%42)c(c%38c%39%40)c%34c%37c%36%35)c1c2c(c43)c5c6c1c%22%23)c1c7c(c98)c%10c%11c1c%20%21)c(c%16c%17%19)c%12c%15c%14%13,6981.46,5.12,3.6,1.52,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8c9cc%10c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%11cc%12c%13c%14cc%15c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%16cc%17c%18c(c%19cc%20c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%21cc(c%13c%13cc%22c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%23cc(c8c8cc(c1=O)c2c3c8c7c4c56)c1c9c(c%10%11)c%12c%13c1c%23%22)c1c%14c(c%15%16)c%17c%19c1c%21%20)c1c2cc3c(=O)n(C(CCCCCC)CCCCCC)c(=O)c4cc5c6c7cc8c(=O)n(C(CCCCCC)CCCCCC)c(=O)c9cc%10c%11c%12cc%13c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%14ccc%15c%16ccc%17c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%19cc(c%11c%11cc%20c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%21cc(c6c6cc%22c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%23cc(c1c1c%24cc%25c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%26cc%27c%28c%29cc%30c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%31cc%32c%33c%34cc%35c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%36ccc%37c%38ccc%39c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%40cc(c%33c%33cc%41c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%42cc(c%28c%28cc%43c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%44cc(c%181)c1c%24c(c%26%25)c%27c%28c1c%43%44)c1c%29c(c%31%30)c%32c%33c1c%41%42)c(c%38c%39%40)c%34c%37c%36%35)c1c2c(c43)c5c6c1c%22%23)c1c7c(c98)c%10c%11c1c%20%21)c(c%16c%17%19)c%12c%15c%14%13
964,438,5.11,4.94,9.99,0.547,0.93,5.67,3.89,1.78,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,1379.79,5.54,3.65,1.89,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
965,438,1.77,1.63,4.93,0.366,0.98,5.52,3.84,1.68,CCCCC(CC)COc1ccc(C(=C2c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(=C(c2ccc(OCC(CC)CCCC)cc2)c2ccc(OCC(CC)CCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)c2ccc(OCC(CC)CCCC)cc2)cc1,1516.03,5.54,3.65,1.89,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCC(CC)COc1ccc(C(=C2c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(=C(c2ccc(OCC(CC)CCCC)cc2)c2ccc(OCC(CC)CCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)c2ccc(OCC(CC)CCCC)cc2)cc1
966,438,5.85,5.61,11.58,0.509,0.99,5.63,3.78,1.85,CCCCC(CC)COc1cccc(C(=C2c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(=C(c2cccc(OCC(CC)CCCC)c2)c2cccc(OCC(CC)CCCC)c2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)c2cccc(OCC(CC)CCCC)c2)c1,1516.03,5.54,3.65,1.89,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCC(CC)COc1cccc(C(=C2c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(=C(c2cccc(OCC(CC)CCCC)c2)c2cccc(OCC(CC)CCCC)c2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)c2cccc(OCC(CC)CCCC)c2)c1
967,438,0.62,0.6,2.06,0.333,0.91,5.43,3.72,1.71,CCCCC(CC)Cc1ccc(C(=C2c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(=C(c2ccc(CC(CC)CCCC)s2)c2ccc(CC(CC)CCCC)s2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)c2ccc(CC(CC)CCCC)s2)s1,1476.12,5.54,3.65,1.89,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCC(CC)Cc1ccc(C(=C2c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(=C(c2ccc(CC(CC)CCCC)s2)c2ccc(CC(CC)CCCC)s2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)c2ccc(CC(CC)CCCC)s2)s1
968,439,12.29,11.91,19.55,0.748,0.84,5.57,3.99,1.58,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,1499.92,5.54,3.51,2.03,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,38.6,19.3,2.00 \,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1
