HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg_2,FF_percent
-5.22,-3.64,-5.61,-3.88,3.16,3.164,0.83,9.53,40.0
-5.2,-3.59,-5.42,-3.82,6.31,6.309,0.97,13.55,48.0
-5.22,-3.64,-5.73,-4.08,5.5,5.484,0.73,13.02,57.7
-5.22,-3.64,-5.58,-4.06,6.6,6.558,0.87,14.67,51.38
-5.33,-3.53,-5.73,-4.08,9.0,9.021,0.79,15.88,71.91
-5.33,-3.53,-5.58,-4.06,7.4,7.4,0.94,14.03,56.11
-5.23,-3.42,-5.43,-3.8,11.32,11.378,0.86,21.34,62.0
-5.23,-3.42,-5.39,-3.77,2.18,2.186,0.85,5.26,48.9
-5.2,-3.6,-5.42,-3.82,6.48,6.47,0.94,14.49,47.5
-5.48,-3.64,-5.59,-3.35,12.5,12.432,0.96,17.5,74.0
-5.48,-3.64,-5.56,-3.32,5.6,5.59,1.0,13.0,43.0
-5.33,-2.92,-5.42,-3.73,10.0,9.802,0.94,15.8,66.0
-5.33,-2.92,-5.43,-3.71,11.2,10.99,0.93,16.3,72.5
-4.9,-3.32,-5.22,-3.5,9.51,9.507,1.08,15.72,56.0
-5.2,-3.56,-5.5,-3.87,6.0,5.996,0.95,11.23,56.2
-5.1,-3.1,-5.94,-3.75,1.25,1.255,0.88,3.28,43.47
-4.9,-3.32,-5.67,-3.79,7.63,7.634,0.85,16.33,55.0
-5.1,-3.48,-5.27,-4.0,4.89,4.894,0.83,10.53,56.0
-5.1,-3.48,-5.24,-4.05,6.94,6.94,0.8,13.77,63.0
-5.22,-3.64,-5.44,-4.0,1.6,1.414,0.58,4.96,49.16
-5.22,-3.64,-5.36,-4.01,1.63,1.437,0.6,5.26,45.53
-5.2,-3.61,-5.26,-4.16,6.4,6.4,0.56,20.3,56.3
-5.2,-3.61,-5.28,-4.11,8.6,8.621,0.65,21.6,61.4
-4.77,-2.09,-4.98,-2.81,1.04,1.039,1.34,1.65,47.0
-4.77,-2.09,-5.05,-2.99,3.55,3.552,1.19,5.33,56.0
-4.77,-2.09,-5.21,-3.18,5.31,5.311,0.94,8.56,66.0
-5.39,-3.12,-5.5,-3.88,12.16,12.113,0.68,26.12,68.2
-5.2,-3.6,-5.5,-3.9,9.58,9.543,0.73,20.75,63.0
-5.2,-3.63,-5.42,-3.91,9.82,9.805,0.72,20.95,65.0
-5.2,-3.63,-5.34,-3.96,10.1,10.016,0.67,22.65,66.0
-5.2,-3.63,-5.31,-4.0,9.43,9.394,0.61,22.0,70.0
-5.36,-3.43,-5.69,-3.91,8.71,8.706,0.89,15.05,65.0
-5.36,-3.51,-5.8,-4.21,9.98,9.983,0.942,15.63,67.8
-5.52,-3.66,-5.8,-4.21,7.63,7.639,1.001,13.0,58.7
-5.36,-3.51,-5.92,-4.31,8.58,8.577,0.822,15.93,65.5
-5.52,-3.66,-5.92,-4.31,10.04,10.041,0.925,16.13,67.3
-5.41,-3.4,-5.64,-3.94,11.8,11.809,0.9,17.9,73.3
-5.42,-3.52,-5.51,-3.55,10.4,10.362,1.08,14.32,67.0
-5.15,-3.44,-5.3,-3.56,8.2,8.198,1.02,13.6,59.1
-5.15,-3.44,-5.38,-3.67,5.5,5.467,0.88,12.4,50.1
-5.0,-3.59,-5.42,-3.68,5.38,5.379,0.86,8.81,71.0
-5.0,-3.1,-5.51,-3.55,5.24,5.241,1.02,7.34,70.0
-5.0,-3.1,-5.43,-3.38,4.5,4.502,1.22,6.15,60.0
-5.4,-3.24,-5.51,-3.84,11.41,11.359,0.94,17.32,69.77
-5.24,-3.66,-5.15,-3.41,10.0,10.008,0.739,22.8,59.4
-5.21,-2.99,-5.15,-3.41,9.4,9.404,0.734,21.9,58.5
-5.28,-3.37,-5.45,-3.88,7.2,7.184,0.998,12.2,59.0
-5.33,-3.53,-5.58,-3.98,12.05,12.049,0.94,17.44,73.5
-5.33,-3.53,-5.56,-3.93,11.29,11.286,0.97,16.48,70.6
-5.37,-3.59,-5.68,-3.91,7.27,7.24,0.9,13.87,58.0
-5.37,-3.59,-5.7,-3.9,7.79,7.792,0.9,14.43,60.0
-5.37,-3.59,-5.74,-3.86,9.16,9.02,0.92,15.32,64.0
-5.2,-3.56,-5.66,-3.93,8.7,8.666,0.8,15.93,68.0
-5.36,-3.43,-5.66,-3.93,9.6,9.589,0.88,16.24,67.1
-5.36,-3.04,-5.64,-3.89,6.13,6.153,0.983,12.4,50.48
-5.38,-3.06,-5.64,-3.89,7.28,7.255,1.017,13.02,54.79
-5.41,-3.08,-5.64,-3.89,6.73,6.731,1.013,12.65,52.53
-5.38,-3.06,-5.66,-3.95,10.06,10.045,0.959,16.91,61.94
-5.38,-3.06,-5.64,-4.05,12.96,12.972,0.891,19.65,74.09
-5.39,-3.37,-5.58,-3.96,11.9,11.907,1.0,18.9,63.0
-5.33,-3.53,-5.61,-4.02,10.54,10.488,0.896,16.55,70.73
-5.33,-3.53,-5.58,-3.98,11.52,11.517,0.95,16.37,74.06
-5.3,-3.7,-5.7,-3.6,8.4,8.438,0.769,15.52,70.7
-5.38,-3.17,-5.48,-3.84,8.54,8.545,0.921,16.45,56.4
-5.38,-3.17,-5.43,-3.8,11.0,11.002,0.925,18.88,63.0
-5.22,-3.64,-5.32,-3.85,8.3,8.448,0.81,17.5,59.6
-5.49,-4.09,-5.32,-3.85,11.2,11.183,0.7,22.5,71.0
-5.38,-3.17,-5.51,-3.81,7.13,7.129,0.896,13.6,58.5
-5.38,-3.17,-5.47,-3.75,9.21,9.224,0.95,14.3,67.9
-5.33,-2.92,-5.58,-3.76,8.63,8.628,0.935,13.55,68.1
-5.33,-2.92,-5.53,-3.73,8.3,8.88,0.963,13.93,66.2
-5.33,-2.92,-5.53,-3.7,8.61,8.611,0.965,13.52,66.0
-5.33,-2.92,-5.52,-3.77,8.1,8.097,0.812,15.04,66.3
-5.34,-3.69,-5.83,-3.7,7.04,7.004,1.11,12.62,50.0
-5.47,-3.46,-5.74,-4.11,10.9,10.972,0.79,19.7,70.5
-5.59,-3.53,-5.74,-4.11,12.7,12.752,0.85,19.74,76.0
-5.25,-3.18,-5.58,-3.88,9.3,9.036,0.96,14.8,63.6
-5.25,-3.18,-5.51,-3.9,10.9,10.425,0.92,17.3,65.5
-5.47,-3.67,-5.59,-3.5,13.59,13.595,0.86,20.8,76.0
-5.47,-3.67,-5.75,-4.09,12.67,12.669,0.78,22.25,73.0
