Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,DA_manual_tokenized,AD_manual_tokenized,DA_manual_tokenized_aug,AD_manual_tokenized_aug,HOMO_D (eV),LUMO_D (eV),HOMO_A (eV),LUMO_A (eV),D:A ratio (m/m),solvent,total solids conc. (mg/mL),solvent additive,solvent additive conc. (%v/v),active layer thickness (nm),annealing temperature,hole contact layer,electron contact layer,hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),PCE (%),calc_PCE (%),Voc (V),Jsc (mA cm^-2),FF (%),Acceptor_BigSMILES,Donor_BigSMILES
PBDB-BzT,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6cc7cc(B=O)ccc7s6)c6sc(C)cc6c(-c6cc7cc(B=O)ccc7s6)c5s4)s3)c1C2=O,IT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,"[0, 0, 0, 0, 170, 7, 100, 9, 1, 229, 79, 218, 220, 218, 79, 229]","[0, 0, 0, 0, 229, 79, 218, 220, 218, 79, 229, 1, 170, 7, 100, 9]","[[0, 0, 0, 0, 170, 7, 100, 9, 1, 229, 79, 218, 220, 218, 79, 229], [0, 0, 0, 0, 9, 170, 7, 100, 1, 229, 79, 218, 220, 218, 79, 229], [0, 0, 0, 0, 100, 9, 170, 7, 1, 229, 79, 218, 220, 218, 79, 229], [0, 0, 0, 0, 7, 100, 9, 170, 1, 229, 79, 218, 220, 218, 79, 229]]","[[0, 0, 0, 0, 229, 79, 218, 220, 218, 79, 229, 1, 170, 7, 100, 9], [0, 0, 0, 0, 229, 79, 218, 220, 218, 79, 229, 1, 9, 170, 7, 100], [0, 0, 0, 0, 229, 79, 218, 220, 218, 79, 229, 1, 100, 9, 170, 7], [0, 0, 0, 0, 229, 79, 218, 220, 218, 79, 229, 1, 7, 100, 9, 170]]",-5.36,,,,,THF,8.0,,-1.0,100.0,100.0,PEDOT:PSS,PFN-Br,0.000168,0.000122,12.1,12.08,0.96,17.97,70.0,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,{[][<]Cc1cc2c(-c3cc4cc(B=O)ccc4s3)c3sccc3c(-c3cc4cc(B=O)ccc4s3)c2s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,IDT-BT-R2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,"[0, 0, 0, 0, 49, 101, 1, 239, 56, 7, 218, 220, 218, 7, 56, 239]","[0, 0, 0, 0, 239, 56, 7, 218, 220, 218, 7, 56, 239, 1, 49, 101]","[[0, 0, 0, 0, 49, 101, 1, 239, 56, 7, 218, 220, 218, 7, 56, 239], [0, 0, 0, 0, 101, 49, 1, 239, 56, 7, 218, 220, 218, 7, 56, 239]]","[[0, 0, 0, 0, 239, 56, 7, 218, 220, 218, 7, 56, 239, 1, 49, 101], [0, 0, 0, 0, 239, 56, 7, 218, 220, 218, 7, 56, 239, 1, 101, 49]]",-5.15,-3.43,-5.3,-3.69,0.667,,25.0,,-1.0,100.0,150.0,PEDOT:PSS,Ca,0.00122,9.06e-05,8.82,8.84,1.04,13.57,62.64,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,IDT-BT-RF3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC(F)(F)F)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC(F)(F)F)C5=O)c5nsnc35)sc2-4)cc1,"[0, 0, 0, 0, 49, 101, 1, 241, 56, 7, 218, 220, 218, 7, 56, 241]","[0, 0, 0, 0, 241, 56, 7, 218, 220, 218, 7, 56, 241, 1, 49, 101]","[[0, 0, 0, 0, 49, 101, 1, 241, 56, 7, 218, 220, 218, 7, 56, 241], [0, 0, 0, 0, 101, 49, 1, 241, 56, 7, 218, 220, 218, 7, 56, 241]]","[[0, 0, 0, 0, 241, 56, 7, 218, 220, 218, 7, 56, 241, 1, 49, 101], [0, 0, 0, 0, 241, 56, 7, 218, 220, 218, 7, 56, 241, 1, 101, 49]]",-5.15,-3.43,-5.34,-3.77,0.5,,24.0,,-1.0,100.0,150.0,PEDOT:PSS,Ca,0.0018,0.000127,8.4,8.38,1.02,13.46,61.03,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC(F)(F)F)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC(F)(F)F)C5=O)c5nsnc35)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,IDT-BT-RO,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(COC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(COC)C5=O)c5nsnc35)sc2-4)cc1,"[0, 0, 0, 0, 49, 101, 1, 242, 56, 7, 218, 220, 218, 7, 56, 242]","[0, 0, 0, 0, 242, 56, 7, 218, 220, 218, 7, 56, 242, 1, 49, 101]","[[0, 0, 0, 0, 49, 101, 1, 242, 56, 7, 218, 220, 218, 7, 56, 242], [0, 0, 0, 0, 101, 49, 1, 242, 56, 7, 218, 220, 218, 7, 56, 242]]","[[0, 0, 0, 0, 242, 56, 7, 218, 220, 218, 7, 56, 242, 1, 49, 101], [0, 0, 0, 0, 242, 56, 7, 218, 220, 218, 7, 56, 242, 1, 101, 49]]",-5.15,-3.43,-5.33,-3.73,0.667,,20.0,,-1.0,100.0,150.0,PEDOT:PSS,Ca,0.00129,9.13e-05,7.59,7.58,0.89,14.47,58.88,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(COC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(COC)C5=O)c5nsnc35)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,IDT-BT-RN,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(N7CCCCC7)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(N6CCCCC6)C5=O)c5nsnc35)sc2-4)cc1,"[0, 0, 0, 0, 49, 101, 1, 243, 56, 7, 218, 220, 218, 7, 56, 243]","[0, 0, 0, 0, 243, 56, 7, 218, 220, 218, 7, 56, 243, 1, 49, 101]","[[0, 0, 0, 0, 49, 101, 1, 243, 56, 7, 218, 220, 218, 7, 56, 243], [0, 0, 0, 0, 101, 49, 1, 243, 56, 7, 218, 220, 218, 7, 56, 243]]","[[0, 0, 0, 0, 243, 56, 7, 218, 220, 218, 7, 56, 243, 1, 49, 101], [0, 0, 0, 0, 243, 56, 7, 218, 220, 218, 7, 56, 243, 1, 101, 49]]",-5.15,-3.43,-5.22,-3.66,0.667,,20.0,,-1.0,100.0,150.0,PEDOT:PSS,Ca,0.00136,8.76e-05,6.78,6.67,1.1,11.6,52.29,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(N7CCCCC7)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(N6CCCCC6)C5=O)c5nsnc35)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,IDT-O-IC,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 221, 7, 244, 220, 244, 7, 221]","[0, 0, 0, 0, 221, 7, 244, 220, 244, 7, 221, 1, 49, 7, 100, 9]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 221, 7, 244, 220, 244, 7, 221], [0, 0, 0, 0, 9, 49, 7, 100, 1, 221, 7, 244, 220, 244, 7, 221], [0, 0, 0, 0, 100, 9, 49, 7, 1, 221, 7, 244, 220, 244, 7, 221], [0, 0, 0, 0, 7, 100, 9, 49, 1, 221, 7, 244, 220, 244, 7, 221]]","[[0, 0, 0, 0, 221, 7, 244, 220, 244, 7, 221, 1, 49, 7, 100, 9], [0, 0, 0, 0, 221, 7, 244, 220, 244, 7, 221, 1, 9, 49, 7, 100], [0, 0, 0, 0, 221, 7, 244, 220, 244, 7, 221, 1, 100, 9, 49, 7], [0, 0, 0, 0, 221, 7, 244, 220, 244, 7, 221, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.77,-3.79,0.833,o-DCB,,,-1.0,100.0,-1.0,MoOx,ZnO,2.28e-05,3.63e-05,6.23,6.22,0.84,11.76,63.0,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,spiro-IDT-O-IC,CCCCCCOc1ccc2c(c1)-c1cc(OCCCCCC)ccc1C21c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C1(c2ccc(OCCCCCC)cc2-c2cc(OCCCCCC)ccc21)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 221, 7, 245, 220, 245, 7, 221]","[0, 0, 0, 0, 221, 7, 245, 220, 245, 7, 221, 1, 49, 7, 100, 9]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 221, 7, 245, 220, 245, 7, 221], [0, 0, 0, 0, 9, 49, 7, 100, 1, 221, 7, 245, 220, 245, 7, 221], [0, 0, 0, 0, 100, 9, 49, 7, 1, 221, 7, 245, 220, 245, 7, 221], [0, 0, 0, 0, 7, 100, 9, 49, 1, 221, 7, 245, 220, 245, 7, 221]]","[[0, 0, 0, 0, 221, 7, 245, 220, 245, 7, 221, 1, 49, 7, 100, 9], [0, 0, 0, 0, 221, 7, 245, 220, 245, 7, 221, 1, 9, 49, 7, 100], [0, 0, 0, 0, 221, 7, 245, 220, 245, 7, 221, 1, 100, 9, 49, 7], [0, 0, 0, 0, 221, 7, 245, 220, 245, 7, 221, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.68,-3.79,0.556,o-DCB,,,-1.0,100.0,-1.0,MoOx,ZnO,3.66e-05,5.24e-05,4.74,4.71,0.83,10.32,55.0,CCCCCCOc1ccc2c(c1)-c1cc(OCCCCCC)ccc1C21c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C1(c2ccc(OCCCCCC)cc2-c2cc(OCCCCCC)ccc21)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,ICBF-O,CCCCCCCCc1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc3c(cc1-2)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc2CCCCCCCC)ccc1-3,"[0, 0, 49, 7, 100, 9, 1, 221, 3, 220, 224, 220, 224, 220, 3, 221]","[0, 0, 221, 3, 220, 224, 220, 224, 220, 3, 221, 1, 49, 7, 100, 9]","[[0, 0, 49, 7, 100, 9, 1, 221, 3, 220, 224, 220, 224, 220, 3, 221], [0, 0, 9, 49, 7, 100, 1, 221, 3, 220, 224, 220, 224, 220, 3, 221], [0, 0, 100, 9, 49, 7, 1, 221, 3, 220, 224, 220, 224, 220, 3, 221], [0, 0, 7, 100, 9, 49, 1, 221, 3, 220, 224, 220, 224, 220, 3, 221]]","[[0, 0, 221, 3, 220, 224, 220, 224, 220, 3, 221, 1, 49, 7, 100, 9], [0, 0, 221, 3, 220, 224, 220, 224, 220, 3, 221, 1, 9, 49, 7, 100], [0, 0, 221, 3, 220, 224, 220, 224, 220, 3, 221, 1, 100, 9, 49, 7], [0, 0, 221, 3, 220, 224, 220, 224, 220, 3, 221, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.7,-3.75,,CB,20.0,,-1.0,100.0,-1.0,PEDOT:PSS,PDINO,,,3.11,3.08,1.06,6.82,42.6,CCCCCCCCc1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc3c(cc1-2)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc2CCCCCCCC)ccc1-3,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,ICBF,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)cc1C3(CCCCCCCC)CCCCCCCC,"[0, 0, 49, 7, 100, 9, 1, 221, 7, 220, 224, 220, 224, 220, 7, 221]","[0, 0, 221, 7, 220, 224, 220, 224, 220, 7, 221, 1, 49, 7, 100, 9]","[[0, 0, 49, 7, 100, 9, 1, 221, 7, 220, 224, 220, 224, 220, 7, 221], [0, 0, 9, 49, 7, 100, 1, 221, 7, 220, 224, 220, 224, 220, 7, 221], [0, 0, 100, 9, 49, 7, 1, 221, 7, 220, 224, 220, 224, 220, 7, 221], [0, 0, 7, 100, 9, 49, 1, 221, 7, 220, 224, 220, 224, 220, 7, 221]]","[[0, 0, 221, 7, 220, 224, 220, 224, 220, 7, 221, 1, 49, 7, 100, 9], [0, 0, 221, 7, 220, 224, 220, 224, 220, 7, 221, 1, 9, 49, 7, 100], [0, 0, 221, 7, 220, 224, 220, 224, 220, 7, 221, 1, 100, 9, 49, 7], [0, 0, 221, 7, 220, 224, 220, 224, 220, 7, 221, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.64,-3.8,,CB,20.0,,-1.0,100.0,-1.0,PEDOT:PSS,PDINO,,,6.07,6.13,0.99,10.3,60.1,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)cc1C3(CCCCCCCC)CCCCCCCC,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,FICBF-O,CCCCCCCCc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc3c(cc1-2)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2CCCCCCCC)ccc1-3,"[0, 0, 49, 7, 100, 9, 1, 216, 3, 220, 224, 220, 224, 220, 3, 216]","[0, 0, 216, 3, 220, 224, 220, 224, 220, 3, 216, 1, 49, 7, 100, 9]","[[0, 0, 49, 7, 100, 9, 1, 216, 3, 220, 224, 220, 224, 220, 3, 216], [0, 0, 9, 49, 7, 100, 1, 216, 3, 220, 224, 220, 224, 220, 3, 216], [0, 0, 100, 9, 49, 7, 1, 216, 3, 220, 224, 220, 224, 220, 3, 216], [0, 0, 7, 100, 9, 49, 1, 216, 3, 220, 224, 220, 224, 220, 3, 216]]","[[0, 0, 216, 3, 220, 224, 220, 224, 220, 3, 216, 1, 49, 7, 100, 9], [0, 0, 216, 3, 220, 224, 220, 224, 220, 3, 216, 1, 9, 49, 7, 100], [0, 0, 216, 3, 220, 224, 220, 224, 220, 3, 216, 1, 100, 9, 49, 7], [0, 0, 216, 3, 220, 224, 220, 224, 220, 3, 216, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.72,-3.85,,CB,20.0,,-1.0,100.0,-1.0,PEDOT:PSS,PDINO,,,5.54,5.54,0.96,10.59,54.5,CCCCCCCCc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc3c(cc1-2)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2CCCCCCCC)ccc1-3,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,FICBF,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s2)cc1C3(CCCCCCCC)CCCCCCCC,"[0, 0, 49, 7, 100, 9, 1, 216, 7, 220, 224, 220, 224, 220, 7, 216]","[0, 0, 216, 7, 220, 224, 220, 224, 220, 7, 216, 1, 49, 7, 100, 9]","[[0, 0, 49, 7, 100, 9, 1, 216, 7, 220, 224, 220, 224, 220, 7, 216], [0, 0, 9, 49, 7, 100, 1, 216, 7, 220, 224, 220, 224, 220, 7, 216], [0, 0, 100, 9, 49, 7, 1, 216, 7, 220, 224, 220, 224, 220, 7, 216], [0, 0, 7, 100, 9, 49, 1, 216, 7, 220, 224, 220, 224, 220, 7, 216]]","[[0, 0, 216, 7, 220, 224, 220, 224, 220, 7, 216, 1, 49, 7, 100, 9], [0, 0, 216, 7, 220, 224, 220, 224, 220, 7, 216, 1, 9, 49, 7, 100], [0, 0, 216, 7, 220, 224, 220, 224, 220, 7, 216, 1, 100, 9, 49, 7], [0, 0, 216, 7, 220, 224, 220, 224, 220, 7, 216, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.66,-3.88,,CB,20.0,,-1.0,100.0,-1.0,PEDOT:PSS,PDINO,,,7.41,7.41,0.87,12.71,67.0,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s2)cc1C3(CCCCCCCC)CCCCCCCC,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,BT-SFIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 263, 7, 218, 371, 218, 7, 263]","[0, 0, 0, 0, 0, 0, 263, 7, 218, 371, 218, 7, 263, 1, 49, 101]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 263, 7, 218, 371, 218, 7, 263], [0, 0, 0, 0, 0, 0, 101, 49, 1, 263, 7, 218, 371, 218, 7, 263]]","[[0, 0, 0, 0, 0, 0, 263, 7, 218, 371, 218, 7, 263, 1, 49, 101], [0, 0, 0, 0, 0, 0, 263, 7, 218, 371, 218, 7, 263, 1, 101, 49]]",-5.22,-3.64,-5.46,-4.04,0.4,,,PN,1.5,,-1.0,MoOx,ZnO,0.00146,0.000308,9.12,9.52,0.77,18.46,67.0,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
