Donor,Acceptor,HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,D_A_ratio_m_m,solvent,total_solids_conc_mg_mL,solvent_additive,annealing_temperature,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg2,FF_percent,Donor_BRICS,Acceptor_BRICS,DA_pair_BRICS,DA_tokenized_BRICS
PBDB-T,IDT2Se,-5.297714285714285,-3.4170000000000003,-5.41,-3.87,1.0,CB,20.0,_,80.0,9.11,9.11,0.88,17.31,59.8,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[8*]CCCCCC', '[7*]Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc([16*])cc2)c2ccc([16*])cc2)-c2sc(-c3ccc(C[7*])[se]3)cc2C4(c2ccc([16*])cc2)c2ccc([16*])cc2)[se]1']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[8*]CCCCCC', '[7*]Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc([16*])cc2)c2ccc([16*])cc2)-c2sc(-c3ccc(C[7*])[se]3)cc2C4(c2ccc([16*])cc2)c2ccc([16*])cc2)[se]1']","[0, 0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 11, 13, 255]"
PBDT-Se-TAZ,ITIC,-5.23,-3.45,-5.574146341463415,-3.915,1.0,CF,16.0,DIO,25.0,10.07,10.07,0.81,18.63,66.7,"['[8*]CCCCCC', '[14*]c1cc2c(-c3ccc(CC(CCCCCC)CCCCCCCC)[se]3)c3sc(C)cc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)[se]3)c2s1', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[9*]n1nc2c([16*])c(F)c(F)c([16*])c2n1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","['[8*]CCCCCC', '[14*]c1cc2c(-c3ccc(CC(CCCCCC)CCCCCCCC)[se]3)c3sc(C)cc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)[se]3)c2s1', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[9*]n1nc2c([16*])c(F)c(F)c([16*])c2n1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","[0, 0, 0, 0, 0, 0, 13, 256, 6, 7, 19, 1, 10, 11, 12, 13, 15]"
PBDTS-Se-TAZ,ITIC,-5.29,-3.49,-5.574146341463415,-3.915,1.0,CF,16.0,DIO,25.0,12.31,12.31,0.84,19.51,75.1,"['[4*]CC(CCCCCC)CCCCCCCC', '[8*]CCCCCCCC', '[11*]Sc1ccc(-c2c3cc(C)sc3c(-c3ccc(S[11*])[se]3)c3cc([14*])sc23)[se]1', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[9*]n1nc2c([16*])c(F)c(F)c([16*])c2n1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","['[4*]CC(CCCCCC)CCCCCCCC', '[8*]CCCCCCCC', '[11*]Sc1ccc(-c2c3cc(C)sc3c(-c3ccc(S[11*])[se]3)c3cc([14*])sc23)[se]1', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[9*]n1nc2c([16*])c(F)c(F)c([16*])c2n1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","[0, 0, 0, 0, 0, 199, 21, 257, 6, 7, 19, 1, 10, 11, 12, 13, 15]"
PBDB-TF,IT-M,-5.497142857142857,-3.6428571428571423,-5.513571428571429,-3.808,1.0,CB,20.0,DIO,100.0,10.5,10.47,1.02,15.79,65.0,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccc(C)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccc(C)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","[0, 0, 0, 0, 0, 5, 6, 24, 30, 7, 9, 1, 10, 16, 12, 13, 15]"
PBDB-TF,HF-PCIC,-5.497142857142857,-3.6428571428571423,-5.53,-3.83,0.833,CB,20.0,CN,110.0,10.97,10.67,0.92,16.01,72.42,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[7*]C[8*]', '[14*]c1cc2c(s1)-c1sc([14*])cc1C2(CC(CC)CCCC)CC(CC)CCCC', '[16*]c1cc(F)c([16*])cc1F']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[7*]C[8*]', '[14*]c1cc2c(s1)-c1sc([14*])cc1C2(CC(CC)CCCC)CC(CC)CCCC', '[16*]c1cc(F)c([16*])cc1F']","[0, 0, 0, 0, 0, 5, 6, 24, 30, 7, 9, 1, 10, 42, 12, 167, 241]"
PBDB-TF,HFO-PCIC,-5.497142857142857,-3.6428571428571423,-5.5,-3.81,0.833,CB,20.0,CN,110.0,8.36,8.33,0.93,12.62,70.99,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[3*]OC', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[7*]C[8*]', '[14*]c1cc2c(s1)-c1sc([14*])cc1C2(CC(CC)CCCC)CC(CC)CCCC', '[16*]c1c([16*])c(F)c([16*])c([16*])c1F']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[3*]OC', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[7*]C[8*]', '[14*]c1cc2c(s1)-c1sc([14*])cc1C2(CC(CC)CCCC)CC(CC)CCCC', '[16*]c1c([16*])c(F)c([16*])c([16*])c1F']","[0, 0, 0, 0, 5, 6, 24, 30, 7, 9, 1, 69, 10, 42, 12, 167, 260]"
PBDB-TF,OF-PCIC,-5.497142857142857,-3.6428571428571423,-5.66,-3.86,0.833,CB,20.0,CN,110.0,9.09,9.19,0.91,13.76,73.37,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[7*]C[8*]', '[14*]c1cc2c(s1)-c1sc([14*])cc1C2(CC(CC)CCCC)CC(CC)CCCC', '[16*]c1c(F)c(F)c([16*])c(F)c1F']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1cc(F)c([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1ccc([14*])s1', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[7*]C[8*]', '[14*]c1cc2c(s1)-c1sc([14*])cc1C2(CC(CC)CCCC)CC(CC)CCCC', '[16*]c1c(F)c(F)c([16*])c(F)c1F']","[0, 0, 0, 0, 0, 5, 6, 24, 30, 7, 9, 1, 10, 42, 12, 167, 261]"
PBDB-T,IF-TN,-5.297714285714285,-3.4170000000000003,-5.8,-3.93,1.0,CB,10.0,CN,80.0,2.89,2.89,1.006,7.02,40.95,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc3ccccc3cc2C1[7*]', '[7*]C[8*]', '[8*]CC(CC)CCCC', '[14*]c1cc([16*])c([14*])s1', '[16*]c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc3c(cc1-2)C(CCCCCC)(CCCCCC)c1cc([16*])ccc1-3']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc3ccccc3cc2C1[7*]', '[7*]C[8*]', '[8*]CC(CC)CCCC', '[14*]c1cc([16*])c([14*])s1', '[16*]c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc3c(cc1-2)C(CCCCCC)(CCCCCC)c1cc([16*])ccc1-3']","[0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 40, 12, 5, 34, 262]"
PBDB-T,IDT-TN,-5.297714285714285,-3.4170000000000003,-5.42,-4.03,1.0,CB,10.0,CN,80.0,5.77,5.77,0.967,13.22,45.17,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc3ccccc3cc2C1[7*]', '[7*]C[8*]', '[8*]CC(CC)CCCC', '[14*]c1cc([16*])c([14*])s1', '[14*]c1cc2c(s1)-c1cc3c(cc1C2(CCCCCC)CCCCCC)-c1sc([14*])cc1C3(CCCCCC)CCCCCC']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc3ccccc3cc2C1[7*]', '[7*]C[8*]', '[8*]CC(CC)CCCC', '[14*]c1cc([16*])c([14*])s1', '[14*]c1cc2c(s1)-c1cc3c(cc1C2(CCCCCC)CCCCCC)-c1sc([14*])cc1C3(CCCCCC)CCCCCC']","[0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 40, 12, 5, 34, 29]"
PBDB-T,IT-M,-5.297714285714285,-3.4170000000000003,-5.513571428571429,-3.808,1.0,CB,20.0,DIO,25.0,10.31,10.36,0.93,16.69,66.77,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccc(C)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccc(C)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","[0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 16, 12, 13, 15]"
PBDB-T,ITIC-Cl4,-5.297714285714285,-3.4170000000000003,-5.5,-3.9,1.0,o-DCB,15.0,CN,25.0,9.6,9.55,0.74,21.5,60.0,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(Cl)c(Cl)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(Cl)c(Cl)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","[0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 41, 12, 13, 15]"
PBDTS-TzBI,ITIC,-5.39,-3.52,-5.574146341463415,-3.915,1.0,CB,20.0,_,130.0,9.04,8.88,0.94,16.8,56.2,"['[4*]CC(CC)CCCC', '[8*]CCCCCCCC', '[8*]CCCCCCCCC', '[11*]S[11*]', '[14*]c1ccc([14*])s1', '[14*]c1ccc(C)s1', '[9*]n1nc2c([16*])c3c(c([16*])c2n1)C(=O)N([10*])C3=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","['[4*]CC(CC)CCCC', '[8*]CCCCCCCC', '[8*]CCCCCCCCC', '[11*]S[11*]', '[14*]c1ccc([14*])s1', '[14*]c1ccc(C)s1', '[9*]n1nc2c([16*])c3c(c([16*])c2n1)C(=O)N([10*])C3=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","[0, 0, 0, 3, 21, 263, 25, 7, 6, 134, 9, 1, 10, 11, 12, 13, 15]"
PBDTS-TzBI,ITIC-Th,-5.39,-3.52,-5.673333333333334,-3.908888888888889,1.0,CB,20.0,_,130.0,9.67,9.54,0.91,17.34,60.44,"['[4*]CC(CC)CCCC', '[8*]CCCCCCCC', '[8*]CCCCCCCCC', '[11*]S[11*]', '[14*]c1ccc([14*])s1', '[14*]c1ccc(C)s1', '[9*]n1nc2c([16*])c3c(c([16*])c2n1)C(=O)N([10*])C3=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1ccc(C2(c3ccc([14*])s3)c3cc4c(cc3-c3sc5cc([14*])sc5c32)C(c2ccc([14*])s2)(c2ccc([14*])s2)c2c-4sc3cc([14*])sc23)s1']","['[4*]CC(CC)CCCC', '[8*]CCCCCCCC', '[8*]CCCCCCCCC', '[11*]S[11*]', '[14*]c1ccc([14*])s1', '[14*]c1ccc(C)s1', '[9*]n1nc2c([16*])c3c(c([16*])c2n1)C(=O)N([10*])C3=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1ccc(C2(c3ccc([14*])s3)c3cc4c(cc3-c3sc5cc([14*])sc5c32)C(c2ccc([14*])s2)(c2ccc([14*])s2)c2c-4sc3cc([14*])sc23)s1']","[0, 0, 0, 3, 21, 263, 25, 7, 6, 134, 9, 1, 10, 11, 12, 13, 67]"
PBDB-T,NFBDT-Me,-5.297714285714285,-3.4170000000000003,-5.4,-3.78,1.667,CF,9.6,_,25.0,11.0,11.01,0.909,17.3,70.0,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(C)ccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2c(s1)-c1sc3cc4c5c(sc4cc3c1C2(c1ccc([16*])cc1)c1ccc([16*])cc1)-c1sc([14*])cc1C5(c1ccc([16*])cc1)c1ccc([16*])cc1']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(C)ccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2c(s1)-c1sc3cc4c5c(sc4cc3c1C2(c1ccc([16*])cc1)c1ccc([16*])cc1)-c1sc([14*])cc1C5(c1ccc([16*])cc1)c1ccc([16*])cc1']","[0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 264, 12, 13, 65]"
PBDB-T,NFBDT,-5.297714285714285,-3.4170000000000003,-5.400000000000001,-3.83,1.25,CF,9.0,_,25.0,10.42,10.46,0.872,17.85,67.2,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2c(s1)-c1sc3cc4c5c(sc4cc3c1C2(c1ccc([16*])cc1)c1ccc([16*])cc1)-c1sc([14*])cc1C5(c1ccc([16*])cc1)c1ccc([16*])cc1']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2c(s1)-c1sc3cc4c5c(sc4cc3c1C2(c1ccc([16*])cc1)c1ccc([16*])cc1)-c1sc([14*])cc1C5(c1ccc([16*])cc1)c1ccc([16*])cc1']","[0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 11, 12, 13, 65]"
PBDB-T,IT-DM,-5.297714285714285,-3.4170000000000003,-5.515,-3.855,0.75,CB,20.0,_,160.0,10.41,10.41,0.95,15.95,68.7,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(C)c(C)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(C)c(C)cc2C1[7*]', '[7*]C[8*]', '[8*]CCCCCC', '[14*]c1cc2sc3c(c2s1)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1cc2c(cc1-3)C(c1ccc([16*])cc1)(c1ccc([16*])cc1)c1c-2sc2cc([14*])sc12']","[0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 184, 12, 13, 15]"
PBDB-T,SN6IC,-5.297714285714285,-3.4170000000000003,-5.38,-3.93,1.0,CB,20.0,DIO,25.0,9.6,9.58,0.88,16.5,66.0,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[8*]C(CCCCCC)CCCCCC', '[7*]C[8*]', '[9*]n1c2cc([14*])sc2c2sc3c(sc4c5sc([14*])cc5n([9*])c43)c21']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2ccccc2C1[7*]', '[8*]C(CCCCCC)CCCCCC', '[7*]C[8*]', '[9*]n1c2cc([14*])sc2c2sc3c(sc4c5sc([14*])cc5n([9*])c43)c21']","[0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 11, 265, 12, 266]"
PBDB-T,SN6IC-4F,-5.297714285714285,-3.4170000000000003,-5.52,-4.11,1.0,CB,20.0,DIO,25.0,13.2,13.21,0.78,23.2,73.0,"['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1']","['[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[8*]C(CCCCCC)CCCCCC', '[7*]C[8*]', '[9*]n1c2cc([14*])sc2c2sc3c(sc4c5sc([14*])cc5n([9*])c43)c21']","['[8*]CC(CC)CCCC', '[14*]c1ccc(C)s1', '[14*]c1ccc([14*])s1', '[14*]c1sc([14*])c2c1C(=O)c1c([14*])sc([14*])c1C2=O', '[14*]c1cc2c([16*])c3sc(C)cc3c([16*])c2s1', '.', '[7*]C(C#N)C#N', '[7*]C1C(=O)c2cc(F)c(F)cc2C1[7*]', '[8*]C(CCCCCC)CCCCCC', '[7*]C[8*]', '[9*]n1c2cc([14*])sc2c2sc3c(sc4c5sc([14*])cc5n([9*])c43)c21']","[0, 0, 0, 0, 0, 0, 5, 6, 7, 30, 9, 1, 10, 42, 265, 12, 266]"
